client_id,annual_income_k,credit_score,loan_approved,age,employment_years,region,debt_to_income_ratio
148,974.98,0.773,1,57,25,Казань,0.2678906468419101
149,847.73,0.748,1,58,13,Санкт-Петербург,0.23016664431229697
150,123.32,0.068,0,49,32,Екатеринбург,0.7763519625365939
151,737.11,0.628,1,49,38,Казань,0.13513441999118214
152,710.68,0.911,1,63,38,Санкт-Петербург,0.20263797834196595
153,128.33,0.322,0,64,28,Москва,0.581101735083496
154,715.44,0.808,1,42,30,Новосибирск,0.2946521766060983
155,164.75,0.283,0,45,3,Новосибирск,0.7846451033733133
156,588.57,0.759,1,63,28,Новосибирск,0.10190867061344533
157,201.4,0.271,0,61,3,Казань,0.6487746935026837
158,857.04,0.831,1,23,34,Санкт-Петербург,0.17517049303639584
159,304.9,0.204,0,29,16,Казань,0.739787960633465
160,320.52,0.4,0,48,22,Екатеринбург,0.6164815063085194
161,184.23,0.196,0,43,32,Москва,0.7215439544995291
162,606.55,0.764,1,58,38,Москва,0.1658461230682789
163,599.77,0.564,1,48,8,Новосибирск,0.11049634201994551
164,954.52,0.582,1,50,8,Новосибирск,0.19004725733452343
165,342.05,0.122,0,24,6,Новосибирск,0.5777763830685996
166,581.81,0.89,1,34,14,Санкт-Петербург,0.1703769668694013
167,123.09,0.345,0,31,32,Екатеринбург,0.44099853167568515
168,769.75,0.855,1,57,35,Екатеринбург,0.20431019678219342
169,163.7,0.433,0,30,10,Екатеринбург,0.4340574546224329
170,645.83,0.697,1,48,3,Екатеринбург,0.2922829080847278
171,936.47,0.513,1,55,12,Новосибирск,0.22718215314194767
172,211.19,0.415,0,22,31,Москва,0.7857728718271924
173,332.54,0.426,0,53,29,Новосибирск,0.6871482322207714
174,708.79,0.797,1,46,5,Екатеринбург,0.10941167589200379
175,312.42,0.363,0,50,25,Новосибирск,0.6793351885117611
176,344.64,0.311,0,28,31,Екатеринбург,0.517517788261731
177,975.91,0.74,1,24,21,Казань,0.18288167954369902
178,984.71,0.818,1,41,20,Москва,0.28716522668056454
179,993.83,0.859,1,41,39,Казань,0.19141193185315525
180,898.71,0.564,1,51,22,Санкт-Петербург,0.1580510210745059
181,284.5,0.076,0,56,4,Новосибирск,0.6812799139101948
182,342.81,0.055,0,56,13,Санкт-Петербург,0.4086800381102167
183,624.83,0.804,1,60,20,Новосибирск,0.22190117820099664
184,384.17,0.005,0,48,13,Казань,0.46544659549702205
185,515.57,0.713,1,47,17,Екатеринбург,0.2583986066811419
186,836.3,0.892,1,35,36,Екатеринбург,0.2973375223234048
187,138.12,0.009,0,38,33,Новосибирск,0.40540545692247304
188,202.32,0.409,0,39,1,Екатеринбург,0.5451463267980414
189,294.76,0.302,0,50,15,Казань,0.6404364669585212
190,313.65,0.174,0,41,13,Екатеринбург,0.739442620759512
191,675.06,0.947,1,48,17,Казань,0.19748126062016153
192,565.04,0.775,1,39,24,Санкт-Петербург,0.28907432992295556
193,381.85,0.276,0,25,8,Казань,0.6913689949197752
194,135.26,0.041,0,22,27,Москва,0.5265818306133832
195,159.9,0.207,0,22,23,Москва,0.536874562303463
196,279.37,0.438,0,47,8,Москва,0.47778540767292554
197,662.29,0.567,1,41,8,Новосибирск,0.27808818960021714
198,753.62,0.502,1,44,26,Новосибирск,0.15254418871226055
199,782.87,0.812,1,31,13,Новосибирск,0.1944496997890317
200,112.95,0.366,0,32,39,Казань,0.6740024346652715
201,305.27,0.225,0,62,37,Новосибирск,0.6831012830421592
202,908.92,0.593,1,62,28,Санкт-Петербург,0.2647291189506181
203,171.29,0.323,0,26,25,Москва,0.43068935978240913
204,686.63,0.579,1,22,16,Казань,0.21752539732302173
205,614.98,0.812,1,38,2,Москва,0.2641183578648296
206,239.68,0.292,0,43,18,Новосибирск,0.6674683539591573
207,800.01,0.688,1,55,17,Казань,0.18951037102121238
208,197.62,0.415,0,62,30,Екатеринбург,0.6730397119125222
209,123.54,0.419,0,50,39,Санкт-Петербург,0.7485954167029554
210,286.87,0.348,0,25,13,Новосибирск,0.49499441694487994
211,934.45,0.799,1,26,32,Новосибирск,0.1148669217772143
212,379.23,0.102,0,32,29,Санкт-Петербург,0.5545472548547228
213,288.27,0.038,0,42,30,Санкт-Петербург,0.5069034740588247
214,367.77,0.403,0,56,18,Екатеринбург,0.5686044730041162
215,242.25,0.29,0,33,13,Новосибирск,0.4377589903615437
216,764.47,0.801,1,47,21,Новосибирск,0.17858186712097865
217,947.05,0.653,1,40,30,Москва,0.1517421894831269
218,839.01,0.76,1,28,21,Казань,0.1694384335124424
219,239.11,0.18,0,28,17,Казань,0.7601248958297964
220,195.4,0.185,0,47,19,Москва,0.6659271962865083
221,553.49,0.701,1,61,15,Казань,0.28752795599158043
222,216.6,0.352,0,26,9,Санкт-Петербург,0.668807904872214
223,311.87,0.059,0,42,10,Казань,0.6541711682811888
224,382.14,0.231,0,35,31,Казань,0.7223055673173325
225,868.79,0.712,1,25,23,Москва,0.2884742878936829
226,174.32,0.226,0,44,30,Екатеринбург,0.7472812303115917
227,698.09,0.864,1,63,33,Казань,0.10480824747328757
228,355.34,0.314,0,41,9,Казань,0.6791457581408578
229,839.82,0.821,1,36,1,Екатеринбург,0.23766768230931296
230,319.6,0.155,0,50,35,Москва,0.7997345119934017
231,829.35,0.899,1,29,11,Екатеринбург,0.14262842386278735
232,749.44,0.92,1,62,34,Москва,0.2734354708902704
233,984.44,0.568,1,40,16,Санкт-Петербург,0.29116862943503274
234,618.77,0.863,1,60,9,Москва,0.14734306116897394
235,206.01,0.046,0,49,32,Санкт-Петербург,0.5787134706032846
236,328.49,0.182,0,48,15,Санкт-Петербург,0.5790000991241714
237,279.6,0.407,0,25,12,Москва,0.7820091678446675
238,356.95,0.375,0,36,33,Новосибирск,0.7678539632112298
239,102.76,0.495,0,56,14,Москва,0.5244778951216037
240,862.38,0.841,1,58,8,Казань,0.2690024474311552
241,384.67,0.278,0,22,8,Казань,0.7393928839734959
242,280.33,0.475,0,24,27,Новосибирск,0.7624076284177453
243,972.37,0.994,1,45,12,Санкт-Петербург,0.12075126870717129
244,852.79,0.598,1,48,1,Новосибирск,0.159084407262753
245,846.84,0.529,1,61,11,Казань,0.1181118935201841
246,861.71,0.878,1,57,39,Новосибирск,0.2336006501486028
247,292.73,0.095,0,55,31,Москва,0.6528489713796093
248,356.64,0.457,0,50,17,Новосибирск,0.6014054045191987
249,821.79,0.984,1,45,33,Санкт-Петербург,0.2634382101453282
250,275.1,0.459,0,45,32,Москва,0.7663739850044615
251,325.18,0.05,0,63,29,Екатеринбург,0.6461805681537625
252,358.22,0.374,0,25,21,Казань,0.47707643787718723
253,266.16,0.026,0,24,21,Казань,0.6425544467932212
254,135.96,0.256,0,55,23,Новосибирск,0.6709853416959894
255,505.81,0.575,1,44,6,Москва,0.1671686974078632
256,848.01,0.617,1,44,22,Екатеринбург,0.20277330514265432
257,388.73,0.01,0,26,38,Москва,0.6325815791714497
258,285.47,0.492,0,52,37,Казань,0.7791078328128593
259,841.63,0.964,1,62,8,Москва,0.24109800493462333
260,580.38,0.996,1,27,35,Екатеринбург,0.13750089142379607
261,236.82,0.419,0,58,11,Новосибирск,0.46946865478173594
262,904.76,0.979,1,31,24,Санкт-Петербург,0.1471993211818475
263,234.53,0.218,0,61,21,Москва,0.6582383490999235
264,382.87,0.054,0,28,2,Санкт-Петербург,0.7568235440838776
265,841.65,0.82,1,60,19,Казань,0.1364126257763711
266,336.89,0.244,0,59,39,Новосибирск,0.603342195025837
267,255.5,0.372,0,42,28,Новосибирск,0.7967327169854521
268,810.46,0.573,1,41,17,Москва,0.11592101539850114
269,346.78,0.253,0,24,6,Новосибирск,0.7332766639141817
270,848.74,0.632,1,43,19,Москва,0.2308692919305715
271,853.39,0.892,1,25,38,Москва,0.2745039903658725
272,298.06,0.167,0,49,28,Санкт-Петербург,0.6909073881809736
273,332.92,0.199,0,33,2,Новосибирск,0.6535016348761346
274,756.34,0.552,1,59,38,Москва,0.2851654748887035
275,112.23,0.093,0,57,37,Санкт-Петербург,0.5771804042991732
276,551.25,0.566,1,62,4,Екатеринбург,0.17775368257231938
277,769.99,0.652,1,26,22,Санкт-Петербург,0.12628247657105368
278,502.47,0.794,1,34,26,Санкт-Петербург,0.1524970015801182
279,514.99,0.902,1,44,36,Москва,0.21624309549787665
280,368.45,0.28,0,51,13,Казань,0.5761496892100844
281,303.27,0.087,0,58,32,Казань,0.6195119437052047
282,212.38,0.251,0,46,17,Казань,0.7185142731771205
283,583.81,0.503,1,48,36,Санкт-Петербург,0.21007025576775018
284,342.44,0.041,0,35,19,Москва,0.7840872289531299
285,299.05,0.405,0,57,35,Новосибирск,0.664134332205651
286,258.9,0.385,0,60,28,Санкт-Петербург,0.6090837816270405
287,349.73,0.466,0,37,1,Санкт-Петербург,0.40943678711231835
288,579.77,0.561,1,43,18,Москва,0.27780243802219184
289,222.69,0.296,0,42,33,Екатеринбург,0.5196993677040642
290,179.56,0.287,0,42,12,Санкт-Петербург,0.6992422671549957
291,385.12,0.123,0,29,8,Екатеринбург,0.4833110700614183
292,275.01,0.195,0,37,24,Екатеринбург,0.48208803491762875
293,731.75,0.534,1,52,16,Казань,0.1460638449365755
294,385.18,0.312,0,63,4,Москва,0.4502462452624944
295,293.64,0.22,0,31,38,Екатеринбург,0.524402801468355
296,293.55,0.205,0,53,27,Москва,0.7543688457773701
297,212.46,0.178,0,55,9,Казань,0.709971388922382
298,846.31,0.72,1,30,16,Москва,0.10958277358266676
299,874.83,0.982,1,38,12,Санкт-Петербург,0.28970406550278305
300,828.37,0.58,1,32,31,Екатеринбург,0.24223201750555323
301,386.18,0.151,0,53,24,Москва,0.7549766763009952
302,984.55,0.662,1,31,14,Новосибирск,0.2527713000400428
303,369.16,0.213,0,43,25,Москва,0.5345382906862328
304,590.49,0.607,1,38,34,Екатеринбург,0.25587303406702394
305,171.17,0.465,0,25,3,Казань,0.44116203533680026
306,289.55,0.276,0,46,24,Казань,0.69205207511057
307,675.31,0.807,1,42,9,Екатеринбург,0.2572663310790081
308,560.1,0.901,1,58,26,Санкт-Петербург,0.18102161091757135
309,284.76,0.207,0,59,20,Санкт-Петербург,0.5971585142338411
310,813.75,0.95,1,22,10,Казань,0.2699892991890377
311,146.93,0.027,0,46,19,Казань,0.6939047245421377
312,196.89,0.463,0,57,3,Екатеринбург,0.5008575823355774
313,316.74,0.439,0,38,24,Санкт-Петербург,0.5963241205072172
314,326.67,0.182,0,62,5,Казань,0.43021330766276306
315,881.14,0.715,1,45,3,Санкт-Петербург,0.2972974803143459
316,722.65,0.795,1,23,27,Казань,0.15565353216375394
317,112.22,0.209,0,61,16,Москва,0.5514696839891134
318,191.27,0.188,0,36,15,Новосибирск,0.7817691121284296
319,935.38,0.667,1,53,35,Москва,0.26295873350473176
320,390.97,0.209,0,60,12,Казань,0.683176366295998
321,298.76,0.179,0,27,26,Новосибирск,0.6854608297974971
322,187.37,0.075,0,22,34,Новосибирск,0.5009606859768605
323,363.2,0.334,0,44,23,Казань,0.6627260924353796
324,129.35,0.316,0,60,31,Казань,0.47928250609420786
325,524.11,0.794,1,38,20,Санкт-Петербург,0.11378557562692973
326,115.44,0.395,0,55,12,Казань,0.7997871576810321
327,378.5,0.45,0,62,23,Екатеринбург,0.6489503725892697
328,391.53,0.189,0,50,4,Казань,0.5723951490628763
329,813.11,0.741,1,30,23,Екатеринбург,0.27553843576556963
330,815.91,0.934,1,34,1,Казань,0.11791320486326214
331,181.25,0.057,0,27,25,Санкт-Петербург,0.4198374032880345
332,309.1,0.381,0,27,2,Екатеринбург,0.43787239620191803
333,341.1,0.031,0,41,30,Москва,0.41314267909615854
334,135.88,0.069,0,24,3,Екатеринбург,0.5996679333050647
335,818.22,0.536,1,38,21,Санкт-Петербург,0.10147838028885861
336,282.87,0.297,0,33,25,Екатеринбург,0.42499190454312835
337,859.6,0.801,1,22,20,Казань,0.12786389647560928
338,109.43,0.084,0,38,22,Казань,0.4921580286058258
339,185.45,0.06,0,24,21,Санкт-Петербург,0.6740805815079465
340,146.81,0.342,0,47,33,Новосибирск,0.7927588560140983
341,236.7,0.4,0,36,38,Казань,0.6764423480215405
342,931.06,0.781,1,57,15,Москва,0.16065658788090542
343,525.99,0.677,1,53,15,Санкт-Петербург,0.2433212597920062
344,922.27,0.654,1,53,25,Екатеринбург,0.17173227260529184
345,986.74,0.513,1,25,21,Екатеринбург,0.15355849490452675
346,388.36,0.078,0,39,24,Москва,0.7407877014223367
347,171.87,0.269,0,40,5,Казань,0.5426435651497545
348,389.09,0.453,0,64,6,Санкт-Петербург,0.504558926624158
349,995.58,0.714,1,56,23,Москва,0.1025192802543574
350,987.93,0.822,1,61,4,Казань,0.22889701230411877
351,885.46,0.885,1,35,27,Санкт-Петербург,0.1365729053509745
352,215.53,0.47,0,54,18,Екатеринбург,0.5796333570704454
353,879.12,0.9,1,35,21,Санкт-Петербург,0.227126399728008
354,932.18,0.725,1,55,28,Новосибирск,0.29858869315658143
355,127.39,0.19,0,25,35,Санкт-Петербург,0.6599808392663556
356,120.81,0.473,0,45,22,Новосибирск,0.7015072808180209
357,186.93,0.02,0,50,23,Санкт-Петербург,0.6488036755235923
358,251.58,0.091,0,40,3,Новосибирск,0.6160317287688784
359,338.74,0.321,0,27,10,Екатеринбург,0.6998457137551094
360,313.97,0.32,0,54,25,Казань,0.6910252141728803
361,538.48,0.707,1,61,8,Новосибирск,0.2724422846643876
362,382.07,0.282,0,40,11,Новосибирск,0.5439157653527719
363,209.09,0.135,0,22,5,Екатеринбург,0.5623248368801087
364,125.6,0.461,0,26,37,Новосибирск,0.788175419553639
365,919.06,0.574,1,48,38,Москва,0.27035806773210835
366,677.31,0.812,1,37,29,Екатеринбург,0.11051487956220063
367,843.94,0.961,1,27,5,Москва,0.1208830738996236
368,936.71,0.626,1,61,9,Екатеринбург,0.21379663886082456
369,833.8,0.97,1,34,2,Новосибирск,0.20629584925636418
370,562.59,0.621,1,56,1,Москва,0.1915926428979071
371,248.55,0.303,0,40,30,Новосибирск,0.42631928711809564
372,815.78,0.773,1,33,11,Екатеринбург,0.18624209697286576
373,338.56,0.225,0,37,28,Новосибирск,0.4952837741902465
374,242.04,0.332,0,64,12,Москва,0.5554699002683803
375,683.23,0.54,1,31,39,Москва,0.15214175482657044
376,615.33,0.862,1,46,26,Новосибирск,0.2036559441377422
377,759.89,0.602,1,41,13,Санкт-Петербург,0.24444321973472924
378,841.62,0.717,1,52,8,Екатеринбург,0.13483133847907927
379,122.37,0.452,0,25,28,Екатеринбург,0.6097259753360484
380,758.86,0.948,1,44,30,Новосибирск,0.24289193677715634
381,294.99,0.361,0,23,9,Санкт-Петербург,0.6430742564203245
382,210.31,0.371,0,43,39,Москва,0.7933548881842291
383,512.2,0.775,1,58,31,Казань,0.18985363169312736
384,288.82,0.167,0,29,21,Казань,0.4143863024853651
385,113.57,0.378,0,28,34,Новосибирск,0.6633598381508168
386,331.38,0.074,0,35,31,Санкт-Петербург,0.5147067510231536
387,273.48,0.091,0,24,25,Санкт-Петербург,0.6238467422578896
388,739.97,0.738,1,37,12,Екатеринбург,0.11054395326690024
389,629.88,0.725,1,40,1,Москва,0.1892340875625393
390,373.97,0.199,0,39,22,Санкт-Петербург,0.7692674847016718
391,552.28,0.536,1,37,37,Казань,0.1595909862633731
392,201.28,0.266,0,29,1,Москва,0.7496436472103323
393,971.37,0.846,1,54,1,Москва,0.13271075890603748
394,543.49,0.6,1,33,21,Новосибирск,0.16082476989360722
395,869.22,0.916,1,32,15,Санкт-Петербург,0.2242212649820406
396,716.17,0.652,1,26,17,Новосибирск,0.16036001117223103
397,277.27,0.143,0,48,22,Санкт-Петербург,0.69889445521582
398,191.38,0.425,0,33,38,Екатеринбург,0.4837670683287417
399,643.62,0.726,1,38,35,Новосибирск,0.18772980368719688
400,827.62,0.588,1,27,16,Новосибирск,0.1077513871108365
401,390.79,0.248,0,54,8,Казань,0.650925654804105
402,104.64,0.116,0,26,17,Новосибирск,0.5886795067564838
403,988.59,0.592,1,49,17,Санкт-Петербург,0.15311151960248273
404,168.38,0.309,0,35,26,Казань,0.6704629333813781
405,350.79,0.435,0,26,13,Новосибирск,0.7631003200964952
406,806.71,0.848,1,54,17,Новосибирск,0.2647492775901601
407,392.76,0.368,0,62,38,Екатеринбург,0.6941854114390733
408,390.88,0.26,0,40,17,Новосибирск,0.43200730790307174
409,247.76,0.262,0,43,14,Москва,0.5437858487415774
410,894.85,0.984,1,26,6,Казань,0.1593075179240524
411,395.7,0.216,0,23,35,Москва,0.4930415448595024
412,968.3,0.861,1,51,14,Казань,0.18640211178607252
413,516.6,0.533,1,60,8,Екатеринбург,0.299809899620729
414,177.63,0.309,0,25,15,Новосибирск,0.4881751539570456
415,993.82,0.943,1,54,27,Новосибирск,0.12064332977579993
416,142.28,0.196,0,34,13,Новосибирск,0.7471866568008525
417,708.88,0.637,1,41,31,Казань,0.1977084932880514
418,940.44,0.653,1,28,35,Новосибирск,0.20483925421266147
419,272.03,0.205,0,36,6,Москва,0.6858249384372626
420,848.14,0.561,1,44,5,Новосибирск,0.15342881397412986
421,382.44,0.2,0,35,22,Екатеринбург,0.7882218682913984
422,914.46,0.77,1,44,23,Москва,0.18713441322445806
423,153.23,0.119,0,40,25,Новосибирск,0.5345574893611638
424,282.26,0.406,0,50,34,Новосибирск,0.6076086774314223
425,710.86,0.73,1,41,26,Санкт-Петербург,0.22862087052357005
426,369.57,0.067,0,50,5,Казань,0.6785449730132123
427,361.44,0.46,0,45,26,Москва,0.6687904551708205
428,984.1,0.684,1,39,20,Санкт-Петербург,0.14397239127379538
429,198.6,0.474,0,31,6,Екатеринбург,0.6974410070242472
430,223.79,0.428,0,62,6,Казань,0.7001087317887087
431,916.07,0.604,1,29,18,Москва,0.12670684663214987
432,207.03,0.007,0,47,4,Новосибирск,0.5934855329562854
433,749.1,0.646,1,50,17,Москва,0.2642284849440695
434,158.74,0.431,0,31,14,Новосибирск,0.5034820281297148
435,984.96,0.529,1,38,14,Казань,0.19078522728435918
436,655.18,0.549,1,23,13,Новосибирск,0.20139992402866946
437,228.13,0.184,0,27,7,Екатеринбург,0.62158797995131
438,934.14,0.72,1,26,15,Новосибирск,0.28646962832674217
439,993.33,0.719,1,49,19,Екатеринбург,0.2716413581954059
440,370.77,0.013,0,62,35,Казань,0.7525641329293
441,972.13,0.743,1,26,17,Казань,0.187351563569415
442,301.64,0.142,0,39,35,Москва,0.6431451296323922
