transaction_id,amount,balance_before,balance_after,transaction_type,transaction_hour,transaction_month,day_of_week,client_id,client_age,historical_transactions,amount_percentage,balance_change,is_large,is_night,large_night
TXN_0105252,80.12,2480.97,2400.85,2,15,11,5,CLIENT_02457,26,43,3.23,-80.11999999999989,0,0,0
TXN_0119393,18.52,1418.95,1400.44,2,16,2,3,CLIENT_00397,22,51,1.31,-18.50999999999999,0,0,0
TXN_0116796,107.49,585.73,478.24,1,10,1,5,CLIENT_01350,45,40,18.35,-107.49000000000001,0,0,0
TXN_0108094,142.25,1194.88,1052.63,2,19,6,1,CLIENT_04790,31,45,11.9,-142.25,0,0,0
TXN_0100322,47.35,556.83,509.48,0,13,6,1,CLIENT_03857,49,42,8.5,-47.35000000000002,0,0,0
TXN_0109923,604.36,1092.2,487.84,1,12,4,2,CLIENT_01778,55,45,55.33,-604.3600000000001,0,0,0
TXN_0107459,117.94,806.78,688.84,2,21,9,1,CLIENT_04813,66,44,14.62,-117.93999999999994,0,0,0
TXN_0119024,96.44,3235.97,3139.53,1,12,7,3,CLIENT_00673,27,42,2.98,-96.4399999999996,0,0,0
TXN_0117553,40.45,1682.53,1642.08,1,13,6,2,CLIENT_01058,46,50,2.4,-40.450000000000045,0,0,0
TXN_0109119,100.0,100.0,0.0,0,16,7,0,CLIENT_00297,53,58,100.0,-100.0,0,0,0
TXN_0116421,681.24,916.03,234.79,2,9,12,2,CLIENT_03367,41,36,74.37,-681.24,0,0,0
TXN_0116060,430.13,2911.61,2481.47,0,8,6,3,CLIENT_04034,53,38,14.77,-430.1400000000003,0,0,0
TXN_0110120,299.41,716.98,417.56,0,15,1,6,CLIENT_03214,26,53,41.76,-299.42,0,0,0
TXN_0119055,1352.75,779.43,2132.18,3,13,11,0,CLIENT_01821,50,57,173.56,1352.75,0,0,0
TXN_0103649,736.93,1497.37,805.03,0,13,6,6,CLIENT_03429,44,57,49.21,-692.3399999999999,0,0,0
TXN_0103941,31.05,530.51,499.46,1,11,4,2,CLIENT_02869,34,53,5.85,-31.05000000000001,0,0,0
TXN_0117880,210.86,300.89,90.03,1,19,9,1,CLIENT_04715,68,31,70.08,-210.85999999999999,0,0,0
TXN_0116675,285.7,328.69,43.0,0,16,2,5,CLIENT_01437,24,45,86.92,-285.69,0,0,0
TXN_0112630,54.96,1324.27,1269.3,0,14,7,3,CLIENT_04281,69,47,4.15,-54.97000000000003,0,0,0
TXN_0111443,2194.58,1478.73,4180.29,3,14,10,3,CLIENT_03497,47,48,148.41,2701.56,0,0,0
TXN_0112157,16.45,1575.32,1558.87,0,8,9,2,CLIENT_03350,33,42,1.04,-16.450000000000045,0,0,0
TXN_0113835,347.55,1037.75,690.19,1,18,2,6,CLIENT_02647,61,55,33.49,-347.55999999999995,0,0,0
TXN_0103434,408.94,1245.33,836.39,1,12,3,3,CLIENT_04293,37,51,32.84,-408.93999999999994,0,0,0
TXN_0118739,100.0,100.0,0.0,2,14,10,3,CLIENT_00640,47,51,100.0,-100.0,0,0,0
TXN_0117407,167.44,2500.26,2332.82,0,14,2,5,CLIENT_02885,51,53,6.7,-167.44000000000005,0,0,0
TXN_0115440,168.71,168.71,0.0,1,7,6,2,CLIENT_04140,38,60,100.0,-168.71,0,0,0
TXN_0110406,261.31,407.72,146.41,1,20,2,2,CLIENT_00115,34,43,64.09,-261.31000000000006,0,0,0
TXN_0106517,100.0,100.0,0.0,0,16,9,2,CLIENT_00905,53,56,100.0,-100.0,0,0,0
TXN_0100971,528.95,2367.43,1838.49,1,10,12,5,CLIENT_02184,37,43,22.34,-528.9399999999998,0,0,0
TXN_0116487,262.51,4359.48,4096.97,0,14,9,0,CLIENT_02119,43,49,6.02,-262.5099999999993,0,0,0
TXN_ANOM_0200130,0.04,679.01,678.97,2,3,9,6,CLIENT_05674,66,217,0.01,-0.03999999999996362,0,1,0
TXN_0113137,716.96,716.96,0.0,1,14,11,1,CLIENT_03840,21,57,100.0,-716.96,0,0,0
TXN_0103669,316.9,1711.2,1394.31,2,19,1,6,CLIENT_03798,49,40,18.52,-316.8900000000001,0,0,0
TXN_0115983,183.71,439.6,255.88,0,22,2,1,CLIENT_02340,45,35,41.79,-183.72000000000003,0,0,0
TXN_0104058,109.25,1623.0,1513.75,2,8,7,0,CLIENT_04355,19,63,6.73,-109.25,0,0,0
TXN_0114976,4.69,1436.51,1431.82,0,11,12,5,CLIENT_04560,27,52,0.33,-4.690000000000055,0,0,0
TXN_0115698,0.29,1777.4,1777.12,0,18,3,1,CLIENT_02773,28,48,0.02,-0.2800000000002001,0,0,0
TXN_0113829,774.84,1572.52,797.68,2,4,7,2,CLIENT_01419,20,43,49.27,-774.84,0,1,0
TXN_0113419,182.43,3868.64,3686.21,0,14,9,3,CLIENT_00181,20,51,4.72,-182.42999999999984,0,0,0
TXN_0100960,4.09,161.76,157.67,0,16,5,0,CLIENT_03023,25,61,2.53,-4.090000000000003,0,0,0
TXN_0117744,1406.91,3650.11,2243.21,1,13,9,3,CLIENT_04746,40,66,38.54,-1406.9,0,0,0
TXN_0109864,109.47,4432.04,4322.57,2,14,11,3,CLIENT_02747,57,34,2.47,-109.47000000000025,0,0,0
TXN_0111263,215.62,1367.16,1151.54,2,12,1,3,CLIENT_03574,54,45,15.77,-215.62000000000012,0,0,0
TXN_0115782,121.83,1578.42,1456.59,2,13,8,3,CLIENT_02781,63,48,7.72,-121.83000000000015,0,0,0
TXN_0117196,306.48,662.47,355.99,2,11,10,1,CLIENT_04248,49,42,46.26,-306.48,0,0,0
TXN_0107554,383.4,3173.16,2789.76,1,15,11,4,CLIENT_01396,64,49,12.08,-383.39999999999964,0,0,0
TXN_0110498,27.83,1682.18,1654.35,0,7,6,2,CLIENT_02086,54,49,1.65,-27.830000000000155,0,0,0
TXN_0117059,574.8,248.8,823.6,3,16,4,6,CLIENT_02617,41,49,231.03,574.8,0,0,0
TXN_0117928,23.06,1068.66,1045.61,2,12,5,0,CLIENT_00393,21,41,2.16,-23.050000000000182,0,0,0
TXN_0107085,229.62,517.6,287.98,0,13,2,0,CLIENT_00443,19,50,44.36,-229.62,0,0,0
TXN_0114753,57.48,2552.12,2494.64,0,13,4,6,CLIENT_03927,50,48,2.25,-57.48000000000002,0,0,0
TXN_0104519,347.02,1630.2,1283.18,0,16,1,4,CLIENT_03206,63,58,21.29,-347.02,0,0,0
TXN_0103024,15.88,962.5,949.08,0,22,2,4,CLIENT_03194,31,45,1.65,-13.419999999999959,0,0,0
TXN_0112121,357.75,2308.13,1950.37,1,18,3,2,CLIENT_01395,40,54,15.5,-357.7600000000002,0,0,0
TXN_0118494,412.68,619.89,246.37,1,13,5,3,CLIENT_00230,63,40,66.57,-373.52,0,0,0
TXN_0105483,484.98,1011.16,448.77,1,16,9,3,CLIENT_00679,37,44,47.96,-562.39,0,0,0
TXN_0101419,305.83,2216.84,1911.01,1,9,9,1,CLIENT_01608,46,66,13.8,-305.83000000000015,0,0,0
TXN_0106209,76.45,1608.25,1531.8,1,12,7,0,CLIENT_02245,39,56,4.75,-76.45000000000005,0,0,0
TXN_0110742,68.58,100.0,31.42,1,9,8,4,CLIENT_00910,56,35,68.58,-68.58,0,0,0
TXN_0116143,281.4,791.17,509.78,1,14,1,1,CLIENT_03847,28,43,35.57,-281.39,0,0,0
TXN_0117617,452.47,562.43,0.0,0,16,7,3,CLIENT_01714,34,44,80.45,-562.43,0,0,0
TXN_0114568,457.22,2281.05,1823.83,2,11,5,2,CLIENT_03620,36,55,20.04,-457.22000000000025,0,0,0
TXN_0100980,3.02,349.1,346.29,0,15,4,3,CLIENT_01609,56,66,0.87,-2.8100000000000023,0,0,0
TXN_0102783,198.71,2151.28,1952.57,0,11,4,5,CLIENT_00913,67,48,9.24,-198.71000000000026,0,0,0
TXN_0107713,28.02,2169.33,2141.31,2,11,8,3,CLIENT_03276,67,52,1.29,-28.019999999999982,0,0,0
TXN_0111518,103.03,2916.46,2813.44,0,5,3,1,CLIENT_03220,35,54,3.53,-103.01999999999998,0,1,0
TXN_0108600,213.18,100.0,313.18,3,12,3,2,CLIENT_04951,42,39,213.18,213.18,0,0,0
TXN_0111640,100.0,100.0,0.0,0,15,4,6,CLIENT_02700,23,52,100.0,-100.0,0,0,0
TXN_0118830,871.56,4037.19,3165.63,2,17,2,5,CLIENT_02905,44,48,21.59,-871.56,0,0,0
TXN_0112562,392.42,1455.71,1063.29,0,14,2,0,CLIENT_04097,39,39,26.96,-392.4200000000001,0,0,0
TXN_0112751,92.06,1061.83,969.77,0,10,11,3,CLIENT_04038,29,73,8.67,-92.05999999999995,0,0,0
TXN_0106384,297.65,1183.04,885.39,0,17,1,0,CLIENT_01183,32,60,25.16,-297.65,0,0,0
TXN_0104807,211.94,1198.21,986.27,0,10,2,5,CLIENT_02368,67,48,17.69,-211.94000000000005,0,0,0
TXN_0106195,111.72,1267.0,1155.28,2,18,11,3,CLIENT_03820,24,66,8.82,-111.72000000000003,0,0,0
TXN_0110648,535.97,1707.47,1143.59,1,19,8,0,CLIENT_02000,54,54,31.39,-563.8800000000001,0,0,0
TXN_0107567,150.21,1083.47,933.26,0,12,7,3,CLIENT_01372,54,37,13.86,-150.21000000000004,0,0,0
TXN_0116397,398.73,961.91,563.18,0,13,11,0,CLIENT_04100,52,38,41.45,-398.73,0,0,0
TXN_0117524,1988.8,4025.18,6013.98,3,16,12,5,CLIENT_00092,51,47,49.41,1988.7999999999997,0,0,0
TXN_0101346,85.05,1248.85,1163.8,0,15,11,3,CLIENT_04767,61,50,6.81,-85.04999999999995,0,0,0
TXN_0113124,337.08,1756.69,1419.61,1,22,9,0,CLIENT_03898,53,41,19.19,-337.08000000000015,0,0,0
TXN_0112673,308.22,956.05,647.83,0,10,1,1,CLIENT_01834,60,41,32.24,-308.2199999999999,0,0,0
TXN_0115455,359.61,1647.96,1288.35,2,20,4,0,CLIENT_00043,46,44,21.82,-359.6100000000001,0,0,0
TXN_0114001,276.07,655.65,317.12,1,19,1,3,CLIENT_02857,34,62,42.11,-338.53,0,0,0
TXN_0118621,629.34,833.25,203.92,2,15,6,2,CLIENT_04855,39,47,75.53,-629.33,0,0,0
TXN_0102119,71.29,2356.64,2285.35,1,14,10,6,CLIENT_03584,52,57,3.03,-71.28999999999996,0,0,0
TXN_0115304,198.42,1994.67,1796.25,1,12,9,2,CLIENT_02159,50,55,9.95,-198.42000000000007,0,0,0
TXN_0104309,288.61,817.48,528.87,2,14,7,0,CLIENT_01860,66,54,35.3,-288.61,0,0,0
TXN_0104484,163.85,409.4,245.54,1,16,9,4,CLIENT_02396,24,46,40.02,-163.85999999999999,0,0,0
TXN_0111013,63.49,1983.4,1913.91,1,13,8,4,CLIENT_01634,55,50,3.2,-69.49000000000001,0,0,0
TXN_0104770,77.07,3238.45,3161.38,0,21,7,4,CLIENT_00326,43,49,2.38,-77.06999999999971,0,0,0
TXN_0102712,3144.81,1182.67,3970.84,3,21,10,4,CLIENT_04424,18,45,265.91,2788.17,0,0,0
TXN_0112186,193.75,1667.28,1473.53,0,10,12,4,CLIENT_01937,18,32,11.62,-193.75,0,0,0
TXN_0116615,689.78,1435.93,2125.72,3,16,5,3,CLIENT_03949,32,48,48.04,689.7899999999997,0,0,0
TXN_0110947,14.53,400.29,385.75,0,11,5,2,CLIENT_02074,47,65,3.63,-14.54000000000002,0,0,0
TXN_0102545,661.79,1510.7,848.91,1,15,12,5,CLIENT_02430,33,65,43.81,-661.7900000000001,0,0,0
TXN_0112619,65.55,1064.09,998.54,0,14,1,6,CLIENT_03409,60,56,6.16,-65.54999999999995,0,0,0
TXN_0109851,159.79,2085.45,1925.66,0,13,5,4,CLIENT_03605,51,41,7.66,-159.78999999999974,0,0,0
TXN_0104410,251.57,3119.45,2867.88,0,12,1,1,CLIENT_04349,62,51,8.06,-251.5699999999997,0,0,0
TXN_ANOM_0200047,19903.54,1468.31,21371.85,3,0,4,2,CLIENT_05360,65,52,1355.54,19903.539999999997,1,1,1
TXN_0112344,106.35,403.8,297.45,0,23,11,2,CLIENT_03720,41,59,26.34,-106.35000000000002,0,0,0
TXN_0112407,106.79,103.68,0.0,1,13,10,1,CLIENT_02663,22,42,103.0,-103.68,0,0,0
TXN_0109610,298.4,734.48,453.22,1,13,5,1,CLIENT_02517,57,45,40.63,-281.26,0,0,0
TXN_0110718,1277.1,1277.1,0.0,1,5,7,0,CLIENT_02968,26,48,100.0,-1277.1,0,1,0
TXN_0107571,432.25,2743.27,2311.02,0,14,1,5,CLIENT_01544,28,67,15.76,-432.25,0,0,0
TXN_0103570,31.52,151.88,183.4,3,12,4,3,CLIENT_02518,20,50,20.75,31.52000000000001,0,0,0
TXN_0108602,80.45,1467.85,1387.4,2,12,8,5,CLIENT_03901,57,45,5.48,-80.44999999999982,0,0,0
TXN_0103559,616.86,4142.91,3526.05,1,19,12,3,CLIENT_00017,63,49,14.89,-616.8599999999997,0,0,0
TXN_0104991,100.0,100.0,0.0,1,10,3,0,CLIENT_02732,65,51,100.0,-100.0,0,0,0
TXN_0107439,646.17,2853.58,2207.41,2,17,10,5,CLIENT_02071,41,47,22.64,-646.1700000000001,0,0,0
TXN_0109325,604.84,1170.14,565.3,2,18,11,1,CLIENT_00179,39,62,51.69,-604.8400000000001,0,0,0
TXN_0102300,758.69,1376.74,618.05,2,8,8,6,CLIENT_04293,29,39,55.11,-758.69,0,0,0
TXN_0107666,313.9,313.9,0.0,2,14,3,0,CLIENT_03819,25,54,100.0,-313.9,0,0,0
TXN_0105804,78.03,487.2,409.17,2,18,6,3,CLIENT_03679,26,60,16.02,-78.02999999999997,0,0,0
TXN_0112022,588.21,780.74,192.53,1,15,4,2,CLIENT_02540,24,53,75.34,-588.21,0,0,0
TXN_0115537,128.53,1332.75,1204.22,2,13,12,1,CLIENT_02626,29,46,9.64,-128.52999999999997,0,0,0
TXN_0109757,1097.98,2176.87,1078.89,1,10,2,6,CLIENT_03657,21,53,50.44,-1097.9799999999998,0,0,0
TXN_0112014,1074.24,8255.08,7180.83,1,17,5,2,CLIENT_00265,60,53,13.01,-1074.25,0,0,0
TXN_0105211,407.69,1109.68,623.76,0,13,11,0,CLIENT_01288,27,40,36.74,-485.9200000000001,0,0,0
TXN_0111548,677.28,1622.15,944.87,1,5,8,5,CLIENT_03575,28,36,41.75,-677.2800000000001,0,1,0
TXN_0112366,133.54,752.03,618.49,0,8,1,2,CLIENT_01942,37,56,17.76,-133.53999999999996,0,0,0
TXN_0109270,1501.95,905.13,2407.08,3,17,11,0,CLIENT_00134,26,62,165.94,1501.9499999999998,0,0,0
TXN_0103975,100.0,100.0,0.0,0,19,5,6,CLIENT_00758,20,63,100.0,-100.0,0,0,0
TXN_0116090,634.52,3014.61,2380.09,0,14,6,1,CLIENT_01371,26,49,21.05,-634.52,0,0,0
TXN_0117232,337.77,702.71,323.95,1,23,4,6,CLIENT_00572,43,50,48.07,-378.76000000000005,0,0,0
TXN_0117443,2662.51,1071.04,3733.56,3,14,10,4,CLIENT_00230,19,50,248.59,2662.52,0,0,0
TXN_0113656,329.83,1866.67,1581.9,0,11,11,5,CLIENT_03428,46,49,17.67,-284.77,0,0,0
TXN_0115645,213.71,1651.05,1437.33,2,10,5,5,CLIENT_02731,35,49,12.94,-213.72000000000003,0,0,0
TXN_0102730,31.84,109.09,77.24,2,13,7,3,CLIENT_01344,63,61,29.19,-31.85000000000001,0,0,0
TXN_0103298,341.86,2142.7,1800.83,1,10,10,4,CLIENT_02021,49,53,15.95,-341.8699999999999,0,0,0
TXN_0108956,330.04,551.98,246.51,2,12,11,4,CLIENT_03754,51,52,59.79,-305.47,0,0,0
TXN_0117410,38.95,509.14,470.19,2,15,1,2,CLIENT_02278,65,57,7.65,-38.94999999999999,0,0,0
TXN_0115155,3790.02,160.23,3950.25,3,16,11,4,CLIENT_00051,24,43,2365.36,3790.02,0,0,0
TXN_0117276,658.96,1643.8,984.84,1,11,8,6,CLIENT_02610,51,56,40.09,-658.9599999999999,0,0,0
TXN_0106703,100.0,100.0,0.0,0,11,3,5,CLIENT_02310,64,42,100.0,-100.0,0,0,0
TXN_0101968,845.97,1640.61,794.64,1,12,7,4,CLIENT_00053,40,53,51.56,-845.9699999999999,0,0,0
TXN_0104936,100.0,100.0,0.0,2,14,3,3,CLIENT_03682,21,45,100.0,-100.0,0,0,0
TXN_0102112,288.66,532.96,244.29,0,18,12,5,CLIENT_04967,38,48,54.16,-288.6700000000001,0,0,0
TXN_0100878,185.33,259.71,74.38,0,17,3,4,CLIENT_00493,36,43,71.36,-185.32999999999998,0,0,0
TXN_0119075,152.74,1857.75,1705.01,2,11,7,4,CLIENT_04111,18,49,8.22,-152.74,0,0,0
TXN_0112989,538.51,1104.33,565.82,1,21,6,4,CLIENT_03135,47,41,48.76,-538.5099999999999,0,0,0
TXN_0107277,103.14,1393.35,1290.22,0,6,12,0,CLIENT_02039,54,68,7.4,-103.12999999999988,0,0,0
TXN_0105709,100.0,100.0,0.0,1,7,4,5,CLIENT_02970,42,46,100.0,-100.0,0,0,0
TXN_0112078,1387.51,538.83,1926.33,3,12,4,3,CLIENT_03870,38,65,257.5,1387.5,0,0,0
TXN_0106687,501.8,1797.52,2299.33,3,9,12,2,CLIENT_04469,24,46,27.92,501.80999999999995,0,0,0
TXN_0106418,788.2,788.2,0.0,1,13,1,5,CLIENT_03689,19,45,100.0,-788.2,0,0,0
TXN_0110431,233.7,824.82,591.11,0,13,8,3,CLIENT_04928,31,43,28.33,-233.71000000000004,0,0,0
TXN_0109982,17.0,850.52,833.52,1,14,5,3,CLIENT_00212,25,54,2.0,-17.0,0,0,0
TXN_0119073,162.37,230.2,67.83,1,6,2,2,CLIENT_01773,48,37,70.53,-162.37,0,0,0
TXN_0104629,56.15,3971.19,3912.13,2,11,7,0,CLIENT_02544,67,38,1.41,-59.059999999999945,0,0,0
TXN_0108862,0.64,2641.44,2640.8,0,13,12,5,CLIENT_04945,68,58,0.02,-0.6399999999998727,0,0,0
TXN_0104667,1097.97,1097.97,0.0,0,12,6,0,CLIENT_04232,45,55,100.0,-1097.97,0,0,0
TXN_0114163,100.6,2423.86,2323.26,0,18,12,4,CLIENT_04349,37,35,4.15,-100.59999999999991,0,0,0
TXN_0100385,316.58,1397.81,1081.23,2,10,7,2,CLIENT_01050,29,49,22.65,-316.5799999999999,0,0,0
TXN_0104186,57.19,1252.68,1195.48,0,18,2,5,CLIENT_00101,24,46,4.57,-57.200000000000045,0,0,0
TXN_0105345,86.51,4740.81,4654.3,1,17,8,6,CLIENT_02188,38,50,1.82,-86.51000000000022,0,0,0
TXN_0102195,23.77,1184.01,1160.24,1,13,12,5,CLIENT_02979,46,45,2.01,-23.769999999999982,0,0,0
TXN_0114990,935.34,1146.83,2082.17,3,15,8,1,CLIENT_04320,68,54,81.56,935.3400000000001,0,0,0
TXN_0112634,403.31,1220.22,816.91,1,13,3,1,CLIENT_01048,55,40,33.05,-403.31000000000006,0,0,0
TXN_0101077,43.83,729.23,685.39,0,14,3,0,CLIENT_00508,45,54,6.01,-43.84000000000003,0,0,0
TXN_0106286,86.34,2097.03,2010.69,0,18,3,4,CLIENT_02648,67,41,4.12,-86.34000000000015,0,0,0
TXN_0105933,18.76,1111.71,1092.95,0,19,4,0,CLIENT_03128,30,52,1.69,-18.75999999999999,0,0,0
TXN_0118512,44.42,4122.6,4078.18,2,10,3,2,CLIENT_04154,64,36,1.08,-44.42000000000053,0,0,0
TXN_ANOM_0200117,1519.14,1519.14,0.0,1,22,11,0,CLIENT_05252,18,38,100.0,-1519.14,0,0,0
TXN_0113363,59.94,413.76,473.7,3,9,9,4,CLIENT_01953,56,48,14.49,59.94,0,0,0
TXN_0108072,215.29,2426.56,2211.27,1,17,9,4,CLIENT_01585,51,50,8.87,-215.28999999999996,0,0,0
TXN_0117020,369.14,906.63,481.1,1,15,8,5,CLIENT_01945,66,41,40.72,-425.53,0,0,0
TXN_0109543,5.78,100.0,105.78,3,14,8,5,CLIENT_00955,51,59,5.78,5.780000000000001,0,0,0
TXN_0119094,1435.84,1435.84,0.0,2,18,6,0,CLIENT_03386,37,45,100.0,-1435.84,0,0,0
TXN_0113355,68.28,100.0,168.28,3,23,1,2,CLIENT_00710,18,46,68.28,68.28,0,0,0
TXN_0118631,86.39,667.62,591.92,0,19,9,4,CLIENT_00432,21,46,12.94,-75.70000000000005,0,0,0
TXN_0102848,274.95,274.95,0.0,1,15,2,5,CLIENT_04133,24,50,100.0,-274.95,0,0,0
TXN_0112791,27.25,528.25,501.0,1,12,4,4,CLIENT_00700,28,44,5.16,-27.25,0,0,0
TXN_0107722,378.61,1112.92,1491.53,3,18,3,4,CLIENT_03247,50,55,34.02,378.6099999999999,0,0,0
TXN_0100812,69.19,2435.92,2366.73,0,16,9,3,CLIENT_02366,30,59,2.84,-69.19000000000005,0,0,0
TXN_0111193,779.94,2150.79,1370.85,0,13,12,3,CLIENT_00692,37,41,36.26,-779.94,0,0,0
TXN_0105135,551.81,844.85,293.04,1,13,5,5,CLIENT_03730,28,56,65.31,-551.81,0,0,0
TXN_0108510,694.91,1796.58,1101.67,1,14,4,2,CLIENT_02870,48,39,38.68,-694.9099999999999,0,0,0
TXN_0107434,261.93,1578.2,1316.27,1,17,3,1,CLIENT_01289,28,47,16.6,-261.93000000000006,0,0,0
TXN_0116476,70.2,100.0,16.75,0,8,3,1,CLIENT_02283,46,53,70.2,-83.25,0,0,0
TXN_0100936,317.91,3784.37,3466.46,1,7,8,6,CLIENT_04683,21,41,8.4,-317.90999999999985,0,0,0
TXN_0111965,61.8,626.35,564.55,0,13,5,3,CLIENT_01472,65,56,9.87,-61.80000000000007,0,0,0
TXN_0101692,100.0,100.0,0.0,2,10,9,4,CLIENT_00301,18,47,100.0,-100.0,0,0,0
TXN_0106216,635.84,1831.17,1195.33,1,15,4,2,CLIENT_04904,48,47,34.72,-635.8400000000001,0,0,0
TXN_0109459,723.34,901.65,178.31,1,11,1,4,CLIENT_01226,36,51,80.22,-723.3399999999999,0,0,0
TXN_0112527,1192.97,163.54,1356.51,3,14,9,1,CLIENT_02905,32,48,729.47,1192.97,0,0,0
TXN_0115484,701.25,1842.24,1140.99,1,13,1,3,CLIENT_01090,49,47,38.07,-701.25,0,0,0
TXN_0105792,2228.01,5391.77,7619.78,3,12,10,6,CLIENT_04479,28,50,41.32,2228.0099999999993,0,0,0
TXN_0112266,129.31,1743.74,1614.43,1,20,8,2,CLIENT_03251,20,61,7.42,-129.30999999999995,0,0,0
TXN_0102221,23.83,3127.25,3103.42,1,8,7,2,CLIENT_02505,18,55,0.76,-23.829999999999927,0,0,0
TXN_0115757,138.76,329.68,190.92,1,12,2,5,CLIENT_00449,47,42,42.09,-138.76000000000002,0,0,0
TXN_0104693,601.43,2147.22,1545.79,0,16,1,3,CLIENT_04400,54,51,28.01,-601.4299999999998,0,0,0
TXN_0110108,6.77,201.59,194.07,0,4,11,2,CLIENT_03013,45,47,3.36,-7.52000000000001,0,1,0
TXN_0105107,824.47,1926.82,1102.36,2,13,10,6,CLIENT_02026,31,41,42.79,-824.46,0,0,0
TXN_0113480,340.05,3258.66,2918.61,0,12,7,6,CLIENT_01028,35,54,10.44,-340.0499999999997,0,0,0
TXN_0104745,176.32,176.32,0.0,0,17,6,1,CLIENT_01024,46,48,100.0,-176.32,0,0,0
TXN_0101604,238.12,3752.34,3514.22,1,18,12,5,CLIENT_03420,36,51,6.35,-238.12000000000035,0,0,0
TXN_0117395,159.54,296.47,136.92,1,17,8,6,CLIENT_02197,26,59,53.81,-159.55000000000004,0,0,0
TXN_0116863,67.15,960.15,893.0,0,23,1,5,CLIENT_02467,66,49,6.99,-67.14999999999998,0,0,0
TXN_0108213,79.2,2342.73,2263.53,0,6,12,4,CLIENT_03426,23,53,3.38,-79.19999999999982,0,0,0
TXN_0101092,100.0,100.0,0.0,1,21,1,3,CLIENT_00917,58,44,100.0,-100.0,0,0,0
TXN_0113884,47.07,2121.66,2074.59,0,18,5,2,CLIENT_01943,66,54,2.22,-47.06999999999971,0,0,0
TXN_0106311,25.96,235.55,209.59,0,15,11,2,CLIENT_01461,26,53,11.02,-25.960000000000008,0,0,0
TXN_0109012,207.83,1985.28,1777.45,1,11,10,5,CLIENT_00894,24,53,10.47,-207.82999999999993,0,0,0
TXN_0100351,129.1,1754.61,1625.51,0,21,4,5,CLIENT_01084,23,53,7.36,-129.0999999999999,0,0,0
TXN_0114782,353.87,1259.61,899.42,0,12,6,1,CLIENT_01870,18,50,28.09,-360.18999999999994,0,0,0
TXN_0101530,144.63,512.04,367.41,0,18,9,6,CLIENT_01566,45,58,28.25,-144.62999999999994,0,0,0
TXN_0113591,100.0,100.0,0.0,0,15,10,1,CLIENT_02974,38,46,100.0,-100.0,0,0,0
TXN_0115215,75.88,6954.42,6878.54,0,11,8,2,CLIENT_03851,68,38,1.09,-75.88000000000011,0,0,0
TXN_0111540,407.58,407.58,0.0,2,16,9,4,CLIENT_01058,29,54,100.0,-407.58,0,0,0
TXN_0100218,358.39,857.27,498.87,1,15,5,0,CLIENT_03135,18,65,41.81,-358.4,0,0,0
TXN_0106813,100.0,100.0,0.0,0,10,5,6,CLIENT_03381,40,54,100.0,-100.0,0,0,0
TXN_0105357,524.06,643.83,1167.9,3,13,11,0,CLIENT_01897,20,44,81.4,524.07,0,0,0
TXN_0115729,151.72,242.6,90.88,0,11,3,2,CLIENT_04689,63,48,62.54,-151.72,0,0,0
TXN_0113043,470.7,2959.91,2489.21,2,8,12,6,CLIENT_04595,34,61,15.9,-470.6999999999998,0,0,0
TXN_0101453,59.38,100.0,40.62,1,22,12,3,CLIENT_03945,33,60,59.38,-59.38,0,0,0
TXN_0114932,104.59,3443.69,3354.14,1,17,12,3,CLIENT_01951,62,33,3.04,-89.55000000000018,0,0,0
