study_hours_per_week,lecture_attendance,homework_avg,midterm_score,practice_solved,sleep_hours_per_night,days_before_exam,group_project_score,extra_consultations,motivation_level,exam_grade
25,84,4.0,67,67,8.0,30,95,9,1,5
38,79,6.16,26,5,4.3,23,72,9,2,4
36,98,5.0,50,65,6.9,13,53,9,0,5
23,68,9.9,75,35,8.3,30,69,8,2,5
28,69,6.4,80,14,6.6,30,50,4,1,5
36,65,3.2,24,75,9.2,12,78,1,1,5
2,61,8.8,49,39,7.8,30,29,0,2,5
36,72,5.7,41,40,9.8,10,29,1,0,5
38,97,6.7,36,6,5.7,23,15,1,1,5
15,92,10.230000000000002,29,21,9.6,7,22,0,2,5
4,78,5.28,90,71,7.6,10,30,7,2,5
2,86,4.7,87,10,8.5,18,11,2,0,5
6,68,4.8,61,1,9.4,6,84,9,1,5
27,61,5.940000000000001,46,29,7.3,24,2,9,2,5
15,84,3.8,26,67,9.2,8,66,7,1,5
28,52,7.9,42,52,7.3,20,37,5,1,5
10,99,4.5,94,88,7.6,23,85,0,1,5
16,48,10.450000000000001,27,20,6.7,9,84,6,2,5
16,63,4.95,27,24,4.9,16,15,2,2,4
27,54,4.8,24,72,7.3,24,81,8,0,5
14,75,5.1,90,71,9.9,2,3,8,0,5
33,52,8.4,21,4,8.7,29,19,3,1,5
33,66,6.6000000000000005,70,91,8.5,11,44,1,2,5
5,83,8.7,85,65,7.9,24,12,9,1,5
31,76,9.350000000000001,31,84,6.1,19,94,8,2,5
38,46,10.450000000000001,66,48,5.0,4,1,4,2,5
24,47,8.3,74,7,5.3,3,93,10,1,5
16,76,3.4,45,97,4.0,15,30,7,0,4
30,80,9.790000000000001,64,86,8.0,8,27,8,2,5
37,53,9.6,81,78,8.9,4,72,10,1,5
14,97,10.0,89,26,5.6,11,58,0,0,5
33,51,3.9,21,1,4.6,17,10,10,0,4
8,75,8.030000000000001,45,27,6.0,9,34,2,2,5
23,91,4.4,33,10,5.8,25,48,6,1,5
29,100,4.8,76,45,6.7,1,43,1,0,5
3,79,9.02,51,20,5.6,8,100,3,2,5
7,56,9.8,81,41,6.0,2,57,3,1,5
29,79,7.920000000000001,97,31,9.4,23,50,6,2,5
29,92,9.0,49,31,6.0,13,16,1,1,5
21,68,3.4100000000000006,32,70,8.7,1,89,7,2,5
31,66,3.63,59,21,7.8,22,3,7,2,5
12,40,7.2,50,77,6.0,10,32,5,1,5
29,91,6.2700000000000005,56,76,8.9,12,61,3,2,5
26,73,9.2,64,20,7.6,27,80,1,1,5
34,43,5.1,78,21,4.1,11,71,2,0,4
2,63,6.0,47,33,4.4,10,89,2,0,4
28,60,7.370000000000001,80,9,8.5,14,42,2,2,5
14,72,4.9,38,64,6.7,14,83,3,1,5
4,46,9.4,62,64,6.4,8,41,6,0,5
7,40,6.3,78,87,4.9,11,50,8,1,4
9,80,6.0,35,66,4.9,22,37,9,0,4
28,42,8.9,88,94,8.8,9,42,3,1,5
10,83,5.2,63,42,9.0,15,47,6,1,5
38,90,8.7,85,40,7.4,27,41,9,0,5
34,54,3.9,29,12,5.8,1,56,5,0,5
25,70,4.73,66,3,9.6,25,53,9,2,5
16,93,9.7,38,22,7.7,19,96,8,1,5
33,55,9.790000000000001,100,69,8.8,18,16,7,2,5
33,49,5.7,70,33,4.0,12,50,1,0,4
25,93,7.5,32,40,6.7,8,8,2,0,5
13,68,9.6,82,17,9.2,26,83,5,1,5
3,98,4.5,35,99,6.0,5,7,4,1,5
4,98,3.4,72,89,8.4,13,62,1,0,5
38,45,7.48,54,96,7.9,17,55,1,2,5
18,68,4.0,78,32,4.9,1,69,4,1,4
3,56,4.3,58,24,8.6,2,8,4,1,5
3,92,10.12,86,51,4.7,7,74,0,2,4
29,99,3.1,92,16,8.4,2,4,9,0,5
24,61,8.7,80,50,9.9,25,71,10,0,5
38,63,6.6,69,2,9.7,22,63,2,0,5
33,100,6.9,72,54,8.8,4,51,8,0,5
34,56,8.47,65,85,7.2,28,34,9,2,5
2,60,6.0,71,55,8.0,13,59,2,0,5
20,90,3.8,48,34,8.4,14,88,5,1,5
3,89,3.7,24,67,4.1,20,99,5,1,4
27,50,8.3,86,58,4.6,3,38,1,1,4
33,95,4.95,93,91,7.6,9,5,6,2,5
7,46,3.5200000000000005,94,58,4.0,18,87,8,2,4
33,81,9.9,100,12,9.5,25,20,8,1,5
5,78,9.9,59,61,6.9,16,35,7,0,5
12,44,5.6,91,93,5.5,19,17,4,0,5
18,83,3.2,21,46,6.4,20,0,7,0,5
39,87,8.1,87,75,9.1,9,92,8,0,5
25,100,8.8,81,2,9.6,19,16,0,1,5
6,96,3.9,99,20,4.7,6,68,0,0,4
35,60,4.29,77,64,8.7,12,5,10,2,5
7,57,8.8,88,17,7.5,15,57,4,0,5
23,74,9.5,77,12,7.5,21,44,6,0,5
12,59,8.5,54,70,8.7,6,71,8,1,5
17,54,4.4,33,76,5.3,5,88,8,0,5
34,44,5.9,34,80,7.2,29,82,2,1,5
10,52,7.2,25,95,5.9,14,47,0,1,5
7,90,4.1,35,92,4.6,27,49,2,0,4
17,51,4.5,65,44,4.6,19,55,7,1,4
30,94,5.5,82,61,4.8,18,8,6,2,4
4,60,6.6,31,29,7.7,26,91,4,1,5
21,76,6.6,60,74,4.6,13,61,10,1,4
37,45,8.7,38,13,7.4,9,30,9,0,5
20,46,8.3,95,52,7.5,20,64,8,0,5
27,65,9.4,96,9,9.4,26,60,3,1,5
4,81,9.680000000000001,21,71,7.8,28,9,5,2,5
20,87,5.28,39,30,9.9,22,52,4,2,5
21,47,5.3,28,5,4.2,25,63,5,1,4
33,48,6.5,40,82,8.2,21,63,3,1,5
8,66,3.1,27,18,4.2,7,49,2,1,4
34,43,9.3,58,11,8.4,28,85,4,1,5
19,60,3.3,56,63,6.3,30,64,4,0,5
2,70,5.3,48,81,7.7,21,76,10,1,5
12,60,7.0,54,54,5.9,12,13,1,1,5
29,79,7.26,57,66,5.0,9,22,9,2,5
26,64,7.6,94,8,8.3,2,27,3,1,5
24,78,6.7,54,5,9.4,3,92,2,1,5
32,54,4.6,87,0,5.1,5,57,6,1,5
31,92,4.4,22,41,9.5,18,39,4,1,5
36,74,9.4,31,92,4.8,28,63,5,1,4
8,88,5.28,51,54,8.4,14,96,10,2,5
17,82,5.0,66,48,9.8,22,1,6,0,5
27,80,5.9,82,98,4.9,26,42,1,0,4
3,76,4.4,45,98,6.6,19,96,9,2,5
2,96,6.6,62,29,6.0,21,87,3,1,5
13,81,8.47,96,34,6.3,5,11,5,2,5
6,86,8.5,63,62,8.5,10,91,2,1,5
38,67,8.0,57,21,8.0,16,34,5,0,5
33,100,4.0,48,42,9.8,24,73,9,0,5
10,53,6.2,74,27,5.1,25,97,0,0,5
36,43,3.3,71,17,7.3,20,68,7,1,5
20,92,3.1,38,31,6.7,26,62,9,1,5
17,59,6.71,54,68,9.5,1,40,4,2,5
4,73,4.8,67,53,4.1,21,63,10,1,4
21,51,7.8,79,33,9.9,4,17,0,1,5
25,72,8.1,50,30,6.9,5,69,9,0,5
34,63,9.3,22,96,7.8,11,10,9,1,5
25,59,9.13,54,3,6.2,14,64,10,2,5
12,44,3.63,71,13,9.1,25,22,0,2,5
9,77,5.6,90,14,7.4,24,3,10,0,5
37,69,4.9,70,59,8.0,27,6,9,1,5
39,63,5.7,75,19,7.9,11,40,2,0,5
21,82,4.1,40,19,6.2,27,48,5,0,5
36,79,4.07,20,48,4.5,24,16,1,2,4
26,46,6.6,72,98,8.8,8,74,7,0,5
36,75,8.0,25,67,5.7,1,54,10,0,5
26,77,8.690000000000001,81,17,9.1,28,26,9,2,5
30,55,6.2,98,23,7.7,7,11,6,0,5
19,91,6.7,66,26,6.1,13,46,10,0,5
19,54,6.6,69,32,7.6,20,33,1,1,5
3,85,7.8,50,63,7.9,6,7,0,1,5
36,62,3.3,83,24,8.2,4,22,6,1,5
17,51,8.0,48,68,8.9,12,25,6,1,5
37,68,7.8100000000000005,34,17,5.0,5,33,2,2,5
34,83,4.840000000000001,77,44,9.7,5,31,9,2,5
5,87,3.3,42,19,6.5,17,5,7,1,5
34,54,3.8,57,34,9.2,6,64,7,0,5
15,68,6.7,60,5,5.3,10,58,4,0,5
22,84,8.3,94,90,4.2,16,49,6,0,4
21,82,5.3,34,91,7.4,24,67,2,1,5
9,88,5.7,22,74,5.9,29,88,5,0,5
8,60,10.450000000000001,20,8,9.9,21,7,2,2,5
4,54,4.5,94,51,4.6,14,39,10,1,4
18,53,3.7,30,27,4.3,10,45,8,1,4
34,81,5.4,79,18,4.3,29,83,6,0,4
13,83,8.2,84,84,5.3,28,77,0,1,5
23,55,7.4,95,62,7.5,22,32,7,0,5
23,54,5.9,23,94,7.0,21,57,8,1,5
31,81,9.8,44,6,6.1,17,2,9,0,5
39,43,8.1,91,36,4.5,5,78,1,0,4
39,66,3.4,98,88,5.4,2,26,0,0,5
9,62,8.2,62,91,5.1,4,82,10,0,5
28,68,3.2,59,35,8.5,18,64,3,0,5
28,80,8.36,63,16,8.7,8,56,8,2,5
35,92,4.95,91,89,8.7,14,34,5,2,5
22,91,7.9,78,91,9.8,13,51,10,0,5
31,48,5.720000000000001,42,36,9.3,29,96,9,2,5
34,92,9.1,81,80,7.0,7,50,7,0,5
29,96,5.4,42,59,6.5,9,16,6,0,5
34,95,8.030000000000001,77,48,9.5,4,76,4,2,5
6,91,5.5,74,80,7.7,5,51,4,2,5
20,82,9.4,52,96,5.8,15,47,5,0,5
5,82,9.350000000000001,96,55,7.4,9,57,5,2,5
36,46,4.7,82,33,10.0,25,75,4,1,5
18,92,10.56,79,86,9.1,18,25,7,2,5
29,81,5.5,80,29,5.7,28,26,2,0,5
31,43,7.6,99,26,9.7,27,23,8,1,5
30,44,9.02,95,50,9.9,14,80,4,2,5
7,44,3.5200000000000005,80,8,5.4,15,10,8,2,5
36,50,10.67,88,19,9.4,1,85,4,2,5
38,80,5.940000000000001,40,86,9.3,19,7,2,2,5
25,67,4.73,22,46,4.2,26,47,8,2,4
30,55,9.0,67,18,8.0,1,31,1,0,5
32,80,8.690000000000001,29,100,5.8,6,28,4,2,5
36,93,3.6,100,67,8.0,8,95,2,1,5
34,69,4.18,61,76,9.5,4,4,6,2,5
22,43,8.8,85,11,7.0,16,48,3,2,5
33,41,3.5,65,72,6.5,11,12,7,0,5
24,85,9.4,28,78,9.5,4,88,0,0,5
34,42,8.2,68,84,9.8,11,41,4,1,5
4,89,5.3,23,78,4.4,10,9,7,0,4
19,60,5.5,79,4,9.5,17,25,1,1,5
26,45,7.15,48,68,4.5,9,25,5,2,4
32,82,5.5,66,24,6.0,10,84,6,0,5
4,92,9.350000000000001,96,87,8.6,8,22,5,2,5
25,57,10.780000000000001,82,100,8.7,30,43,9,2,5
33,83,7.1,50,30,8.4,14,75,2,0,5
23,44,6.1,70,45,4.2,13,38,5,0,4
24,48,4.6,60,33,4.8,3,42,6,0,4
3,59,8.36,55,40,9.6,14,51,2,2,5
28,67,7.8,59,77,4.5,14,57,9,0,4
3,65,7.8,79,90,4.5,3,88,1,1,4
27,57,3.2,34,67,9.0,29,75,2,1,5
18,58,9.3,97,86,7.8,16,99,0,0,5
34,42,5.4,49,37,6.1,10,31,6,1,5
10,48,8.2,49,45,5.0,4,17,3,0,5
30,75,9.13,46,68,9.3,20,41,2,2,5
27,70,7.6,59,26,9.9,18,83,5,1,5
36,88,5.8,97,42,4.3,4,1,2,1,4
26,56,7.3,64,77,7.3,2,59,10,1,5
25,94,3.3,94,70,5.6,11,32,9,1,5
14,62,8.3,66,44,9.0,15,45,2,1,5
8,73,4.07,75,17,6.1,11,80,8,2,5
37,80,5.8,73,31,8.3,23,58,1,1,5
21,80,3.7,28,1,7.2,21,99,4,0,5
2,44,8.9,84,40,7.2,23,93,9,1,5
9,54,6.9,89,19,9.1,6,56,9,0,5
17,86,7.8,20,92,6.8,18,61,1,0,5
15,42,8.58,32,57,9.1,30,62,5,2,5
13,58,8.9,57,89,6.2,28,72,3,1,5
24,67,4.29,64,37,5.0,18,30,6,2,5
16,42,7.6,59,0,6.7,1,38,0,1,5
29,77,7.0,34,68,7.0,13,84,7,1,5
35,43,3.5200000000000005,69,53,6.9,1,21,1,2,5
3,63,4.840000000000001,21,13,8.8,13,16,3,2,5
33,70,4.9,72,24,7.4,21,2,10,0,5
24,84,3.5,45,8,9.3,5,31,6,0,5
23,98,5.5,85,93,7.1,23,32,7,0,5
26,84,3.5200000000000005,94,82,5.3,17,63,8,2,5
23,98,6.9,52,60,4.8,16,9,4,1,4
23,50,4.5,78,51,9.2,21,4,8,0,5
7,76,5.5,45,7,4.3,18,67,8,2,4
16,40,9.4,40,15,4.7,10,37,2,0,4
38,48,6.5,68,7,4.4,17,95,6,1,4
34,56,5.390000000000001,99,22,6.5,7,40,7,2,5
9,93,7.920000000000001,90,72,7.2,15,83,0,2,5
6,40,4.4,90,95,4.1,19,72,10,1,4
5,42,3.8500000000000005,85,100,7.1,27,60,9,2,5
7,86,3.4100000000000006,56,33,6.4,9,14,4,2,5
33,65,10.67,33,17,8.6,21,51,0,2,5
31,92,8.1,91,43,9.0,21,7,2,0,5
36,70,8.6,26,14,8.1,5,55,1,1,5
17,65,9.9,57,14,6.8,25,97,1,0,5
14,62,9.5,64,92,5.3,29,29,3,1,5
31,69,9.02,41,22,9.1,10,73,4,2,5
20,49,7.9,63,86,6.1,13,77,10,1,5
18,47,5.940000000000001,100,64,6.1,1,33,0,2,5
20,83,4.07,99,85,9.5,21,58,10,2,5
29,64,7.0,54,70,9.9,26,55,5,1,5
27,61,7.700000000000001,79,31,9.4,6,85,10,2,5
38,54,9.7,22,91,10.0,25,12,10,0,5
27,98,6.1,86,31,9.2,3,50,4,1,5
24,80,7.8,91,32,8.2,17,58,3,1,5
10,95,7.0,74,42,5.8,12,61,5,1,5
13,96,4.620000000000001,28,12,9.7,27,28,1,2,5
2,49,7.1,88,91,9.3,11,92,7,0,5
2,59,6.8,47,8,5.4,8,61,5,1,5
35,80,7.15,34,61,6.9,25,6,2,2,5
33,86,6.6,50,56,4.4,12,43,3,0,4
26,62,4.51,78,47,9.7,11,5,1,2,5
2,92,6.820000000000001,73,42,7.4,22,98,3,2,5
17,92,7.2,87,66,5.5,5,61,8,0,5
6,40,7.040000000000001,66,80,5.8,28,100,3,2,5
23,41,6.4,61,97,9.9,8,67,7,0,5
30,97,3.5,42,31,7.7,12,77,2,1,5
4,58,4.3,84,72,6.5,22,69,4,1,5
13,53,5.2,73,59,7.0,6,16,1,0,5
27,47,6.490000000000001,30,0,4.6,9,48,8,2,4
17,77,7.2,82,56,4.5,25,23,8,1,4
38,51,9.0,41,83,7.6,17,76,9,0,5
23,65,4.1,73,68,7.1,28,11,6,0,5
30,66,3.4100000000000006,55,84,6.2,2,56,1,2,5
15,68,6.71,77,68,7.4,1,28,3,2,5
29,54,6.0,39,67,4.4,18,87,5,1,4
6,85,6.9,35,60,9.7,3,61,8,1,5
31,92,8.8,75,7,5.8,29,97,5,1,5
6,100,9.46,69,88,4.4,14,77,3,2,4
13,40,3.7,85,6,5.0,13,26,0,1,5
17,99,9.5,93,36,4.6,2,4,6,0,4
27,82,3.8,32,41,5.1,22,39,6,0,5
27,67,7.4,34,31,6.5,4,46,5,1,5
22,96,8.47,92,16,8.4,15,8,2,2,5
37,42,7.8,46,27,5.6,5,15,4,1,5
34,90,4.9,27,69,6.6,10,12,6,0,5
31,57,5.3,89,47,9.6,9,53,5,1,5
38,91,6.8,69,53,5.8,18,14,6,0,5
24,99,4.840000000000001,86,41,8.8,3,99,4,2,5
11,73,3.1,45,35,4.9,14,24,0,0,4
6,71,6.9,55,65,5.1,10,15,9,1,5
37,68,6.930000000000001,40,30,6.7,17,43,10,2,5
35,64,8.36,96,64,5.4,15,94,4,2,5
32,99,4.4,71,2,9.4,18,46,1,2,5
11,65,8.9,30,12,4.3,17,100,9,1,4
20,78,4.0,27,30,7.6,30,32,9,0,5
33,47,9.2,76,28,7.6,25,83,1,1,5
2,58,6.1,65,56,4.4,3,25,3,0,4
6,93,7.48,97,32,8.4,16,98,5,2,5
5,86,9.3,21,52,6.8,19,39,4,0,5
17,81,5.61,83,9,8.3,13,70,6,2,5
25,61,4.73,71,62,9.0,23,44,9,2,5
17,68,6.71,84,72,5.9,17,94,7,2,5
3,72,5.170000000000001,30,64,6.9,25,80,9,2,5
29,77,6.7,25,100,5.6,23,42,0,1,5
33,84,4.9,98,95,5.2,16,71,7,0,5
28,85,9.1,95,96,4.0,9,22,2,1,4
21,74,8.030000000000001,83,1,9.8,24,46,9,2,5
25,82,3.0,74,1,6.6,21,43,9,0,5
13,42,8.6,63,68,4.1,12,81,1,0,4
36,58,5.3,33,73,4.1,3,41,1,0,4
34,49,5.2,24,36,5.7,27,11,4,1,5
34,66,5.7,44,1,4.1,9,93,1,0,4
38,54,7.4,69,60,6.2,16,35,3,0,5
13,50,6.1,92,39,4.4,5,78,2,0,4
4,86,7.4,90,62,4.2,25,81,7,0,4
2,65,4.4,21,24,8.0,19,88,8,2,5
34,98,9.8,29,37,9.4,22,12,10,0,5
11,63,8.91,21,36,6.5,13,87,5,2,5
30,52,4.8,79,81,9.0,2,80,3,0,5
14,71,8.1,64,26,4.2,19,64,10,0,4
13,76,7.0,27,83,8.7,18,100,10,1,5
32,43,3.8,77,49,4.4,12,26,1,1,4
3,52,4.2,26,33,9.0,18,19,10,1,5
36,48,3.3,91,43,9.3,5,17,7,0,5
24,96,9.57,40,71,8.7,26,63,2,2,5
18,88,6.9,66,3,8.9,20,8,1,1,5
27,73,5.2,20,93,7.4,27,73,3,1,5
9,95,3.9,31,51,5.6,20,24,1,0,5
30,76,6.4,94,54,7.9,29,0,2,1,5
27,87,6.7,67,99,6.6,8,58,8,0,5
11,46,8.690000000000001,23,72,4.0,30,35,6,2,4
27,40,9.8,53,11,6.9,22,17,10,0,5
35,99,6.6000000000000005,51,13,7.9,16,46,0,2,5
8,97,6.38,22,34,4.1,26,78,9,2,4
5,51,5.6,87,5,7.7,2,32,4,0,5
12,60,8.8,76,46,7.9,13,21,4,0,5
30,50,4.51,95,22,4.9,1,87,8,2,4
37,83,5.4,43,67,6.6,5,64,0,1,5
26,90,8.1,52,64,9.8,23,10,0,0,5
22,97,3.1,22,58,9.3,21,25,9,0,5
37,83,5.0,23,8,6.5,12,89,6,0,5
11,83,8.25,49,57,6.1,4,69,6,2,5
38,53,4.3,89,47,4.7,5,96,10,1,4
10,73,5.1,68,62,4.2,11,62,7,0,4
25,73,6.4,49,8,5.8,10,77,3,0,5
36,64,6.0,91,43,9.6,8,87,6,1,5
36,100,4.07,35,45,9.8,21,37,5,2,5
37,43,9.6,72,14,8.9,9,48,0,0,5
19,91,3.3,25,87,6.1,26,16,1,0,4
33,94,9.02,43,52,4.9,7,56,7,2,4
25,65,3.5,47,47,7.6,27,13,5,0,5
24,55,6.930000000000001,40,71,7.9,29,82,6,2,5
33,49,4.2,27,91,6.5,14,7,7,1,5
38,84,4.0,55,41,8.1,11,55,4,1,5
13,41,4.29,28,16,8.5,30,22,4,2,5
14,74,6.820000000000001,59,34,8.7,18,43,1,2,5
24,58,7.26,70,30,7.0,25,65,3,2,5
26,45,3.9,20,3,8.7,18,2,10,1,5
36,58,9.9,82,47,4.2,22,52,1,1,4
31,98,4.8,87,13,8.1,30,12,6,0,5
18,92,6.820000000000001,93,24,5.4,8,68,10,2,5
21,91,4.95,45,45,5.6,2,81,8,2,5
26,90,6.5,59,47,4.5,22,0,10,0,4
23,47,8.3,22,39,5.2,21,100,1,0,5
14,53,6.6,28,49,10.0,7,20,3,1,5
20,49,5.0,51,6,6.5,26,82,10,0,5
37,42,4.7,86,94,9.6,29,55,7,0,5
13,77,9.13,23,59,5.0,5,97,8,2,5
20,68,3.8,25,34,5.2,14,1,3,0,3
13,54,6.16,92,62,7.3,14,83,7,2,5
10,62,4.51,45,19,6.1,3,30,6,2,5
8,62,5.28,21,15,7.9,6,12,4,2,5
29,57,4.1,85,21,6.5,23,13,3,0,5
15,85,9.2,22,35,8.9,17,75,5,0,5
32,58,8.91,54,18,6.6,24,56,5,2,5
20,67,6.9,78,1,7.4,8,12,1,1,5
17,65,4.6,57,67,5.9,29,87,2,1,5
6,49,7.26,52,97,8.2,20,94,10,2,5
36,86,6.6,34,6,7.9,30,13,5,1,5
13,43,7.1,94,46,6.4,30,93,3,0,5
26,94,3.74,93,48,5.7,24,26,2,2,5
22,41,9.8,33,77,7.7,3,99,3,0,5
37,42,6.3,85,42,9.7,29,69,5,1,5
24,46,9.5,64,31,4.8,15,59,2,1,4
17,94,3.1,67,16,8.8,5,69,0,0,5
15,55,4.7,63,100,7.3,19,14,5,1,5
32,70,3.7,56,13,7.2,2,55,1,1,5
6,49,8.4,48,80,9.8,21,87,8,0,5
36,58,5.2,53,31,7.6,8,61,5,0,5
24,67,8.9,78,59,9.0,9,12,0,0,5
30,56,8.8,62,59,7.1,5,6,10,0,5
12,67,7.7,52,51,5.5,3,20,3,1,5
19,58,7.7,38,65,8.2,12,13,4,0,5
13,76,8.690000000000001,27,3,9.5,3,2,7,2,5
10,62,7.7,50,93,9.0,24,62,2,1,5
11,59,5.7,30,93,5.2,19,42,10,1,5
18,52,7.8,27,62,5.9,16,98,8,0,5
39,52,9.3,44,32,7.1,25,11,8,1,5
8,82,5.3,39,0,7.4,26,54,9,0,5
14,50,9.6,57,96,5.2,16,84,10,1,5
10,87,3.1,26,99,5.4,1,58,4,0,5
28,54,5.4,96,63,8.6,17,19,3,1,5
3,56,4.29,58,94,8.4,21,90,6,2,5
6,93,3.9,93,36,9.0,20,68,8,0,5
30,89,8.7,91,77,9.6,3,44,5,0,5
38,67,10.340000000000002,39,69,5.8,17,54,6,2,5
39,58,8.4,100,6,9.2,23,58,0,0,5
20,43,9.8,30,23,8.0,17,74,3,1,5
9,61,4.5,35,67,9.7,16,59,1,1,5
2,61,4.0,61,54,5.6,6,60,0,1,5
23,94,7.26,71,88,5.6,26,41,10,2,5
18,76,9.680000000000001,56,2,8.2,18,43,6,2,5
8,78,3.3,71,91,9.6,14,5,10,1,5
26,73,11.0,28,22,8.9,20,68,9,2,5
5,72,7.2,54,35,8.4,8,21,3,0,5
37,83,10.89,86,56,6.3,19,64,1,2,5
7,81,5.6,26,47,8.3,9,83,4,0,5
32,79,6.2,21,12,8.8,21,87,6,1,5
20,72,8.3,44,60,8.5,22,19,1,1,5
28,51,8.5,95,85,8.1,18,46,6,1,5
11,41,5.06,60,88,4.3,1,47,2,2,4
27,98,9.5,94,23,8.0,21,92,7,1,5
20,67,10.01,71,42,6.9,17,23,6,2,5
4,49,3.1,100,100,9.8,4,71,0,1,5
