study_hours_per_week,lecture_attendance,homework_avg,midterm_score,practice_solved,sleep_hours_per_night,days_before_exam,group_project_score,extra_consultations,motivation_level,exam_grade
19,67,5.2,62,51,6.6,12,46,3,1,3
2,55,3.3,37,21,4.4,5,37,0,0,2
19,79,6.4,48,38,5.7,11,71,4,1,3
40,93,9.2,79,85,7.3,29,89,9,1,5
6,55,5.4,28,8,4.9,6,38,0,0,2
5,49,3.9,42,18,4.6,1,26,1,0,2
6,58,3.3,22,21,5.9,4,50,3,0,2
40,90,9.9,85,93,7.4,30,92,6,2,5
25,99,8.2,91,95,8.3,20,96,4,2,5
40,98,9.0,82,80,7.7,30,98,4,0,5
4,63,3.0,36,28,5.7,8,3,0,0,2
2,54,4.0,43,37,4.3,5,39,2,0,2
32,97,8.7,97,73,7.5,28,97,7,1,5
25,84,7.0,76,62,7.8,16,74,7,2,4
20,76,7.9,75,65,6.7,14,79,2,2,4
5,47,3.1,28,29,4.4,5,41,1,0,2
7,59,5.2,40,40,4.1,10,45,2,0,2
16,63,6.3,62,35,7.0,9,46,3,1,3
33,94,8.6,97,100,7.4,30,81,4,2,5
18,66,5.2,57,42,6.6,10,50,5,2,3
20,81,7.6,78,64,7.4,20,77,5,2,4
27,92,9.9,97,81,7.6,27,74,6,2,5
16,62,5.2,53,58,6.8,4,64,3,0,3
16,81,7.7,61,66,7.4,19,84,4,0,4
15,70,5.5,49,43,6.0,15,54,3,0,3
29,83,7.4,80,67,6.7,10,77,3,0,4
30,95,9.0,77,73,7.2,24,93,6,1,5
6,54,5.3,24,0,4.6,1,25,3,0,2
18,90,7.6,63,76,6.7,20,79,6,1,4
4,41,3.9,45,32,4.9,7,22,3,0,2
4,42,3.3,29,2,4.0,1,8,0,0,2
32,91,9.5,88,95,8.5,23,82,4,2,5
20,72,5.8,56,59,6.9,8,68,5,0,3
20,63,6.9,58,49,5.8,14,59,5,1,3
8,64,6.7,57,59,5.6,15,67,2,2,3
31,95,8.2,83,91,8.5,28,79,4,2,5
17,65,5.3,49,48,6.8,11,46,4,1,3
9,61,3.2,27,27,5.2,5,28,2,0,2
9,64,5.9,45,32,6.3,10,65,4,0,3
9,56,3.4,40,32,5.6,1,0,2,0,2
14,59,6.9,62,30,5.9,14,70,2,0,3
27,88,7.7,78,50,7.8,17,68,7,1,4
30,93,9.9,76,84,8.8,20,82,5,2,5
8,49,5.3,25,8,4.7,10,47,1,1,2
14,80,5.3,46,55,6.5,10,67,4,1,3
38,98,8.1,88,98,7.2,20,84,7,2,5
2,49,3.8,31,31,5.1,3,44,2,0,2
37,96,8.7,99,80,7.6,30,93,10,2,5
11,63,4.8,39,36,4.1,10,10,0,1,2
33,98,8.2,88,99,9.0,23,100,10,2,5
5,49,4.4,34,13,4.2,3,49,2,0,2
15,65,5.6,61,45,5.8,8,49,2,0,3
39,96,9.2,88,96,7.5,30,100,4,2,5
17,95,6.5,65,73,7.4,20,63,4,1,4
31,94,9.0,92,79,7.8,22,95,5,2,5
26,87,8.6,62,65,7.0,18,80,3,2,4
38,97,9.6,95,78,8.0,20,84,4,2,5
17,95,7.1,71,76,7.0,13,59,7,2,4
30,85,7.5,80,79,6.7,20,70,7,2,4
29,99,9.3,75,76,7.7,23,81,7,1,5
11,79,6.8,58,60,7.0,14,56,2,1,3
37,100,9.9,95,86,7.3,30,83,9,2,5
28,77,6.6,63,72,7.5,20,75,6,2,4
36,99,9.7,93,96,8.6,25,93,10,2,5
5,46,4.7,31,18,5.4,10,44,1,0,2
36,96,8.8,82,92,7.2,23,95,6,2,5
13,78,5.8,47,43,6.2,14,53,5,0,3
36,93,9.0,99,100,7.7,30,80,7,1,5
25,82,7.1,69,64,6.6,19,72,3,2,4
10,70,5.7,49,56,6.6,12,48,2,1,3
26,77,7.2,69,52,7.8,11,71,5,2,4
10,53,3.1,48,20,4.5,6,3,2,0,2
7,41,4.7,30,35,5.0,3,47,3,0,2
15,91,8.1,67,62,7.1,14,74,6,1,4
28,80,8.1,78,76,8.0,18,77,3,1,4
11,78,5.2,54,51,6.5,10,48,2,1,3
21,81,7.2,73,60,7.2,13,64,5,2,4
5,57,3.8,35,3,4.3,6,23,0,0,2
13,66,5.8,58,42,5.8,6,49,3,2,3
20,81,7.1,62,74,7.3,12,81,5,2,4
35,93,9.4,78,97,8.4,21,91,7,2,5
36,100,9.0,75,92,8.9,26,91,5,2,5
16,61,6.0,51,48,6.3,15,65,3,1,3
10,55,4.5,34,29,4.3,1,25,3,1,2
16,74,5.8,56,54,5.9,13,51,4,1,3
5,50,3.3,50,18,5.8,10,29,0,0,2
7,43,3.3,31,3,5.1,6,16,2,1,2
30,78,7.2,76,73,7.9,18,70,3,1,4
10,68,6.6,60,50,6.3,8,62,4,1,3
12,72,6.1,54,58,5.4,13,51,4,0,3
13,75,6.2,51,59,6.5,13,65,3,2,3
29,92,8.7,85,73,8.0,26,80,4,2,5
6,63,4.3,22,9,5.4,3,0,2,0,2
30,96,8.9,75,80,7.9,21,83,10,2,5
21,93,6.7,64,66,6.6,16,82,5,2,4
10,79,5.7,64,52,6.4,14,62,4,0,3
37,96,8.6,76,99,9.0,22,94,9,2,5
11,61,6.6,53,48,6.9,11,66,3,2,3
39,91,8.5,88,96,7.1,24,88,4,1,5
14,79,6.0,47,55,6.9,10,69,5,1,3
13,61,5.0,45,53,6.1,14,38,4,1,3
17,75,6.6,63,48,6.3,15,41,4,0,3
21,75,6.7,67,49,6.8,16,62,7,2,4
31,90,9.8,97,76,8.6,29,90,9,2,5
4,56,3.5,38,39,5.7,4,15,1,1,2
10,61,4.4,23,30,4.2,9,4,3,0,2
16,75,8.0,58,73,7.1,15,70,4,2,4
31,98,8.1,99,76,8.9,25,89,7,2,5
9,74,6.8,45,59,6.1,15,53,5,1,3
16,71,6.4,49,47,6.6,15,54,3,2,3
5,60,4.2,49,24,4.5,9,48,0,0,2
19,66,5.6,55,51,6.7,13,59,4,2,3
27,97,8.4,95,97,7.1,24,76,9,2,5
30,91,8.8,80,75,7.4,29,83,4,0,5
34,97,9.4,97,96,7.7,28,98,10,2,5
6,56,5.2,26,35,5.2,1,18,0,0,2
19,74,7.2,66,80,7.3,16,85,5,2,4
40,90,8.9,83,84,7.0,23,97,8,2,5
7,60,3.3,43,22,5.8,1,33,2,0,2
19,84,8.2,65,62,6.6,16,62,3,0,4
25,81,7.8,70,76,6.7,17,75,4,0,4
26,90,6.6,79,74,7.4,13,80,5,0,4
8,46,5.5,50,5,4.8,9,4,2,1,2
34,92,10.0,86,83,7.1,28,84,9,2,5
26,93,8.6,100,84,8.8,27,97,5,2,5
36,92,8.3,78,96,8.2,20,76,10,0,5
15,90,6.9,74,60,7.7,18,67,2,1,4
8,69,5.7,47,36,6.3,12,69,3,0,3
4,55,4.3,45,22,4.9,8,28,2,0,2
12,60,6.1,57,39,6.9,6,53,1,1,3
7,72,6.2,46,50,5.8,8,43,3,0,3
20,94,8.1,81,49,6.8,20,72,5,2,4
20,94,7.9,72,54,7.3,16,64,5,2,4
27,100,10.0,85,82,8.9,29,99,10,2,5
5,40,4.5,30,1,5.2,8,3,2,1,2
30,93,8.8,75,85,8.3,26,76,4,1,5
20,90,8.5,66,63,7.8,17,67,6,2,4
33,94,9.9,81,91,8.7,25,78,7,1,5
15,78,6.9,73,58,6.7,13,67,4,1,4
8,54,3.1,38,28,4.6,1,13,2,0,2
31,100,9.1,88,94,9.0,30,97,6,2,5
21,77,7.2,71,76,6.9,11,83,7,1,4
2,65,4.0,27,3,4.2,9,4,3,0,2
16,75,7.0,61,80,6.6,10,59,3,2,4
8,65,5.4,58,52,5.6,12,46,3,0,3
2,46,3.9,23,28,4.9,11,43,2,0,2
15,83,7.4,72,70,7.4,14,58,3,2,4
31,98,7.9,88,70,7.8,21,86,6,2,5
30,93,7.2,78,67,8.0,16,78,6,1,4
8,66,5.4,49,6,4.1,6,34,3,0,2
18,82,8.2,71,66,6.5,13,69,3,1,4
30,92,9.1,96,83,8.0,20,79,4,2,5
24,98,8.6,96,80,7.7,20,82,4,2,5
31,91,8.1,89,85,8.1,27,86,7,1,5
18,95,7.5,74,76,7.5,18,68,7,2,4
3,62,5.0,42,12,4.1,5,12,0,0,2
30,91,7.9,73,60,7.2,12,69,2,1,4
21,74,6.3,49,31,6.1,13,68,3,1,3
23,80,7.1,73,53,7.1,13,84,4,1,4
36,93,8.5,94,77,7.5,25,100,4,2,5
16,88,7.4,69,75,7.9,17,70,7,2,4
23,79,6.8,67,69,7.5,12,84,7,2,4
19,79,6.3,60,31,5.9,6,63,1,1,3
20,87,6.9,72,54,7.3,18,82,2,0,4
38,96,9.5,97,99,7.7,28,99,9,2,5
20,81,8.2,72,78,7.5,12,72,5,1,4
26,77,7.8,75,78,7.3,10,70,5,2,4
14,74,6.7,45,39,5.9,12,42,3,2,3
25,93,9.9,76,86,8.0,21,100,9,2,5
32,100,9.0,96,76,8.0,23,90,4,2,5
17,67,6.1,52,40,6.4,10,60,1,1,3
3,57,3.6,29,26,4.8,8,33,3,0,2
16,66,6.4,49,47,7.0,9,56,4,1,3
7,40,4.1,37,29,5.3,3,20,3,0,2
3,61,5.2,25,8,4.9,10,2,3,1,2
38,91,8.4,94,97,7.4,20,85,10,2,5
14,71,6.2,66,35,6.1,13,66,4,1,3
21,66,6.1,50,57,5.8,12,54,5,2,3
25,92,6.4,62,74,6.7,15,64,6,0,4
20,79,7.2,69,77,7.4,16,86,6,2,4
9,80,5.0,55,40,5.8,12,66,5,0,3
19,88,6.8,76,58,7.4,19,67,7,1,4
33,99,9.5,99,82,7.1,23,86,8,2,5
20,73,6.5,46,42,5.7,5,44,5,1,3
34,93,8.2,89,75,7.7,23,97,9,2,5
36,95,9.2,76,72,8.1,21,95,5,1,5
8,43,5.4,35,29,4.7,10,39,2,2,2
9,59,6.3,58,50,5.8,9,62,4,0,3
38,94,10.0,77,83,8.5,30,86,8,1,5
25,82,7.1,81,55,7.0,14,68,2,2,4
18,80,6.8,60,65,7.0,17,78,4,1,4
37,100,9.3,82,87,8.0,26,84,10,1,5
15,80,5.4,48,32,6.5,6,50,3,1,3
2,50,4.7,41,16,5.2,3,44,0,0,2
6,51,4.7,25,36,6.0,7,26,3,0,2
28,99,8.8,78,95,7.9,23,76,4,2,5
14,73,6.7,55,48,6.4,9,41,2,2,3
16,93,8.0,72,61,6.7,14,78,4,2,4
18,65,6.6,46,31,5.5,15,65,1,1,3
29,93,8.5,92,84,7.4,20,93,6,2,5
3,40,5.2,22,25,5.3,1,22,0,0,2
19,68,6.9,61,62,6.5,15,53,4,1,3
17,77,7.4,68,54,7.4,20,73,7,1,4
15,69,5.5,55,52,6.0,11,71,2,1,3
18,81,6.6,67,76,6.8,12,68,6,2,4
22,82,7.5,73,55,6.8,12,82,6,2,4
17,78,7.7,77,61,7.1,18,83,5,0,4
30,76,6.5,73,75,7.0,13,59,2,2,4
31,97,9.7,96,80,7.7,24,88,9,1,5
19,62,5.8,56,56,6.9,11,54,4,0,3
6,52,5.1,37,21,5.2,9,49,0,0,2
10,68,6.8,54,44,5.8,6,43,1,1,3
17,90,7.0,74,79,7.9,17,63,3,2,4
17,65,5.5,53,37,6.9,9,59,5,1,3
5,58,3.4,27,2,5.2,10,43,2,1,2
19,68,5.6,53,34,6.5,12,66,1,1,3
33,97,9.2,99,75,7.4,25,79,5,2,5
17,87,7.0,75,71,7.4,16,83,7,2,4
17,78,6.9,59,46,6.6,8,62,1,2,3
8,59,3.3,34,23,4.3,1,14,2,0,2
3,62,5.3,20,6,4.9,5,51,2,2,2
30,80,7.1,68,57,6.7,17,81,5,1,4
21,87,8.5,66,51,7.6,16,64,6,2,4
6,44,3.7,23,39,4.9,5,30,3,1,2
21,63,5.8,48,32,6.2,7,61,2,0,3
6,55,5.0,37,39,5.5,1,45,3,0,2
28,81,6.8,60,65,7.0,13,61,7,2,4
33,97,9.6,90,77,7.2,24,92,8,2,5
10,67,6.7,48,39,6.5,9,57,4,0,3
20,64,6.3,49,44,6.4,14,42,5,0,3
16,68,5.2,52,40,6.9,8,42,1,0,3
23,79,7.0,73,55,8.0,10,72,5,1,4
38,97,8.9,84,91,7.7,30,97,4,2,5
2,44,5.5,43,36,4.2,10,10,2,0,2
14,73,6.6,53,46,5.8,5,50,1,1,3
29,78,6.8,76,68,7.2,19,83,3,1,4
26,78,6.6,68,63,6.8,15,64,7,1,4
28,80,7.6,69,64,7.9,16,77,7,1,4
10,58,4.6,39,11,4.8,1,5,0,1,2
10,43,3.7,41,34,5.2,1,6,0,0,2
6,52,3.1,46,22,5.8,9,46,1,0,2
13,79,6.3,49,46,6.7,9,58,4,1,3
15,85,7.4,66,50,6.9,16,65,7,2,4
26,90,9.8,83,75,7.8,22,97,4,2,5
35,91,9.0,84,79,8.5,19,74,4,2,5
9,69,6.3,64,39,6.0,12,50,2,1,3
10,62,3.1,28,38,4.9,4,48,0,0,2
16,62,5.2,59,44,6.9,6,52,5,2,3
15,85,8.3,67,67,7.3,19,76,5,2,4
14,67,6.6,59,59,7.0,11,41,1,1,3
9,53,5.5,37,6,5.9,7,2,1,0,2
16,87,6.8,71,72,7.2,17,65,4,2,4
10,60,5.2,49,55,6.8,7,43,2,1,3
13,61,5.7,50,58,6.9,15,59,4,1,3
25,74,6.9,66,66,7.6,18,82,4,1,4
32,98,8.1,88,72,7.2,24,85,9,1,5
39,100,8.7,94,75,7.4,28,78,9,0,5
9,58,4.4,24,18,4.0,9,33,1,0,2
15,74,6.2,50,35,6.8,7,39,3,0,3
38,91,8.4,81,79,7.3,20,98,9,2,5
36,100,8.9,90,75,8.3,30,87,8,2,5
30,83,7.7,65,73,7.8,12,83,3,2,4
6,49,4.4,22,36,5.4,10,9,1,1,2
12,77,6.1,61,32,6.2,14,46,2,1,3
24,94,7.4,72,72,7.2,13,78,2,1,4
32,94,8.7,87,87,7.8,26,77,7,2,5
37,100,9.3,99,80,8.8,25,80,6,1,5
34,92,9.9,86,97,7.2,26,85,4,2,5
10,53,3.5,51,24,5.4,6,25,3,2,2
25,90,8.0,76,75,8.6,22,95,8,2,5
37,97,8.8,83,77,7.8,30,79,10,1,5
11,77,6.7,53,56,6.2,13,59,2,1,3
17,62,6.4,46,36,7.0,14,64,2,1,3
3,44,4.0,30,33,4.3,10,15,1,1,2
11,63,7.0,51,30,7.0,13,51,4,1,3
40,98,9.9,77,94,7.4,22,77,8,2,5
10,78,6.0,59,53,6.1,6,65,2,1,3
30,75,8.1,62,74,6.6,12,68,7,0,4
11,74,6.8,59,42,5.7,7,44,4,1,3
10,58,4.2,20,13,5.2,10,41,2,0,2
20,89,7.4,68,71,7.3,12,63,7,2,4
26,86,7.6,77,67,6.9,11,63,3,1,4
24,90,7.1,74,60,6.6,11,62,6,2,4
27,98,8.9,83,85,7.2,30,90,9,0,5
5,58,4.6,22,22,4.9,2,46,0,1,2
3,65,4.3,44,29,4.0,2,28,2,1,2
28,81,8.1,76,61,6.7,12,72,4,1,4
19,78,7.6,65,67,7.9,16,81,2,2,4
23,76,8.3,77,51,7.9,17,78,5,2,4
5,53,4.8,49,25,4.5,10,15,0,0,2
9,61,6.2,59,41,6.5,14,43,3,0,3
10,50,4.2,22,10,5.9,10,37,0,1,2
26,94,8.9,93,95,7.8,30,84,10,2,5
15,70,6.7,63,58,5.6,15,64,5,0,3
30,98,9.6,79,91,7.6,24,92,8,2,5
9,54,3.9,36,2,5.6,9,44,2,1,2
6,51,3.4,43,12,5.6,4,30,2,0,2
16,76,6.4,53,33,5.7,8,56,1,1,3
25,86,8.2,80,76,7.9,11,62,4,0,4
2,65,4.3,42,40,4.9,4,48,0,1,2
3,54,3.4,31,12,4.1,8,22,2,0,2
28,91,7.0,65,75,7.1,10,59,5,2,4
27,99,8.3,75,94,7.6,26,88,10,2,5
10,45,3.6,46,14,4.8,9,14,3,1,2
26,89,9.2,95,82,7.2,27,78,10,2,5
39,92,9.6,99,69,8.7,29,95,5,2,5
34,92,9.7,82,96,7.5,30,76,4,2,5
34,100,9.6,89,81,8.1,22,91,9,2,5
8,40,4.0,41,5,5.0,3,25,2,0,2
18,67,5.9,50,41,5.9,14,69,4,2,3
4,51,4.3,50,16,4.4,9,25,0,0,2
7,52,5.0,32,9,5.0,6,38,0,2,2
3,56,3.9,43,11,5.5,1,20,1,0,2
18,84,7.8,77,55,8.0,16,80,2,1,4
28,97,8.9,82,74,8.7,28,96,8,2,5
8,60,3.8,27,17,4.2,8,8,0,0,2
24,81,8.0,66,58,6.8,9,65,7,2,4
16,89,7.8,78,49,7.7,13,80,5,2,4
26,91,9.5,98,73,7.6,30,92,10,2,5
20,77,5.2,54,35,6.0,11,58,2,1,3
25,97,7.2,72,65,7.0,11,62,6,2,4
11,62,6.5,51,38,6.4,8,68,3,1,3
3,50,4.1,45,3,5.6,7,21,0,0,2
2,48,3.3,52,33,4.8,8,45,1,0,2
20,72,6.8,49,50,6.2,7,45,5,2,3
2,57,3.6,29,26,5.5,1,12,0,0,2
24,87,8.1,70,56,6.7,10,72,6,2,4
26,79,8.4,76,67,6.9,13,79,2,2,4
8,47,5.2,38,22,5.3,9,34,1,0,2
5,61,4.5,22,19,6.0,10,19,0,0,2
10,41,4.2,49,3,4.8,1,26,3,2,2
5,49,3.1,45,23,4.2,1,39,1,0,2
37,93,10.0,89,86,7.1,23,90,8,2,5
32,98,9.6,89,92,7.5,24,85,7,2,5
37,89,8.8,98,99,8.6,21,93,8,2,5
9,44,3.8,43,21,5.3,1,19,1,0,2
23,75,8.2,74,78,6.9,17,59,3,2,4
16,92,7.9,69,56,7.6,15,64,6,2,4
8,67,5.6,52,35,6.0,12,46,4,0,3
2,60,4.5,32,32,5.2,4,44,1,0,2
20,76,8.5,75,60,7.3,10,85,5,0,4
21,86,7.8,78,69,6.9,20,70,5,1,4
28,83,8.5,59,72,6.7,18,82,5,2,4
16,91,7.4,72,69,7.2,12,86,6,2,4
19,91,8.4,65,75,7.2,10,74,3,2,4
2,64,4.8,33,27,4.0,7,23,2,0,2
10,43,5.5,52,18,5.0,9,43,0,0,2
23,92,6.5,74,63,7.9,19,62,7,2,4
39,94,10.0,78,93,8.4,22,79,10,2,5
9,55,4.0,48,15,5.4,3,37,2,0,2
8,46,5.3,33,15,5.7,4,44,1,0,2
15,78,6.0,48,58,6.5,16,48,5,1,3
16,74,6.8,58,50,6.1,14,52,1,2,3
40,93,8.2,98,95,7.9,25,97,5,1,5
20,81,6.6,67,74,7.4,12,75,3,2,4
31,91,6.6,73,72,6.9,17,69,4,2,4
13,78,5.3,62,58,6.0,5,48,3,0,3
21,87,7.3,79,75,7.0,15,68,6,2,4
29,88,6.8,78,52,7.8,17,76,6,2,4
17,73,5.2,50,57,6.1,8,48,2,1,3
22,89,7.2,71,62,7.6,16,61,6,1,4
23,85,7.5,78,69,6.9,15,63,4,2,4
19,83,6.6,70,58,7.8,16,61,6,1,4
3,50,3.1,21,12,6.0,1,47,3,1,2
18,69,7.1,51,39,6.8,8,43,4,2,3
9,69,6.5,47,31,7.1,10,41,3,0,3
13,69,5.2,44,33,7.0,11,51,4,0,3
8,62,5.5,51,55,6.6,13,53,5,1,3
27,85,6.7,66,67,7.4,21,87,5,2,4
8,52,4.1,49,10,4.2,1,17,0,0,2
19,59,6.7,55,60,6.9,7,57,1,1,3
12,75,6.9,61,55,5.6,5,55,2,0,3
32,91,9.9,88,82,8.1,30,85,8,2,5
